,#,ID,NAME,EQUATION,EC-NUMBER,GENE ASSOCIATION,LOWER BOUND,UPPER BOUND,OBJECTIVE,COMPARTMENT,MIRIAM,SUBSYSTEM,REPLACEMENT ID,NOTE,REFERENCE,CONFIDENCE SCORE,lowglucoseflux,highglucoseflux
708,,r_0920,phytoceramidase,cerotic acid[er] + phytosphingosine[er] => ceramide-2 (C26)[er],1.14.14.-,YDR402C,,,,,kegg.reaction/R06527;metanetx.reaction/MNXR110323;sbo/SBO:0000176,sce00071  Fatty acid degradation;sce00380  Tryptophan metabolism,,,,2.0,0.0,0.0
709,,r_0921,Phytosphingosine phosphate lyase,phytosphingosine 1-phosphate[er] => 2-hydroxyhexadecanal[er] + O-phosphoethanolamine[er],4.1.2.27,YDR294C,,,,,metanetx.reaction/MNXR103262;pmid/18296751;pmid/9334171;sbo/SBO:0000176,sce00600  Sphingolipid metabolism,,,18296751; 9334171,3.0,0.0,0.0
710,,r_0922,phytosphingosine synthesis,H+[er] + NADPH[er] + oxygen[er] + sphinganine[er] => H2O[er] + NADP(+)[er] + phytosphingosine[er],1.-.-.-,YDR297W,,,,,kegg.reaction/R06525;metanetx.reaction/MNXR110321;pmid/18296751;pmid/9368039;sbo/SBO:0000176,sce00600  Sphingolipid metabolism,,,18296751; 9368039,3.0,0.0,0.0
711,,r_0929,polyamine oxidase,H2O[c] + N(1)-acetylspermidine[c] + oxygen[c] => 3-aminopropanal[c] + hydrogen peroxide[c] + N-acetylputrescine[c],1.5.3.17,YMR020W,,,,,metanetx.reaction/MNXR103057;pmid/12670477;sbo/SBO:0000176,sce00330  Arginine and proline metabolism;sce00410  beta-Alanine metabolism,,,12670477,3.0,0.0,0.0
712,,r_0935,porphobilinogen synthase,2 5-aminolevulinate[c] => H+[c] + 2 H2O[c] + porphobilinogen[c],4.2.1.24,YGL040C,,,,,kegg.reaction/R00036;metanetx.reaction/MNXR103095;sbo/SBO:0000176,sce00860  Porphyrin and chlorophyll metabolism;sce01110  Biosynthesis of secondary metabolites,,,,2.0,7.131391e-07,1.5434151e-06
713,,r_0936,poylamine oxidase,H2O[c] + N(1)-acetylspermine[c] + oxygen[c] => 3-aminopropanal[c] + hydrogen peroxide[c] + N(1)-acetylspermidine[c],1.5.3.17,YMR020W,,,,,metanetx.reaction/MNXR103058;pmid/12670477;sbo/SBO:0000176,sce00330  Arginine and proline metabolism;sce00410  beta-Alanine metabolism,,,12670477,3.0,0.0,0.0
714,,r_0937,poylamine oxidase,H2O[c] + oxygen[c] + spermine[c] => 3-aminopropanal[c] + hydrogen peroxide[c] + spermidine[c],1.5.3.17,YMR020W,,,,,metanetx.reaction/MNXR103059;pmid/12670477;sbo/SBO:0000176,sce00330  Arginine and proline metabolism;sce00410  beta-Alanine metabolism,,,12670477,3.0,0.0,0.0
715,,r_0938,prephenate dehydratase,H+[c] + prephenate[c] => carbon dioxide[c] + H2O[c] + keto-phenylpyruvate[c],4.2.1.51,YNL316C,,,,,kegg.reaction/R01373;metanetx.reaction/MNXR103123;pmid/7502583;sbo/SBO:0000176,"sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids",,,7502583,3.0,0.027421567,0.059347275
716,,r_0939,prephenate dehydrogenase (NADP),NADP(+)[c] + prephenate[c] => 3-(4-hydroxyphenyl)pyruvate[c] + carbon dioxide[c] + NADPH[c],1.3.1.13,YBR166C,,,,,kegg.reaction/R01730;metanetx.reaction/MNXR103122;pmid/2697638;sbo/SBO:0000176,"sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics",,,2697638,3.0,0.020888721000000002,0.045208528
717,,r_0940,proline oxidase (NAD),FAD[m] + L-proline[m] => 1-pyrroline-5-carboxylate[m] + FADH2[m],1.5.5.2,YLR142W,,,,,metanetx.reaction/MNXR103187;sbo/SBO:0000176,sce00330  Arginine and proline metabolism;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics,,,,2.0,0.0,0.0
718,,r_0941,prolyl-tRNA synthetase,ATP[c] + L-proline[c] + tRNA(Pro)[c] => AMP[c] + diphosphate[c] + H+[c] + Pro-tRNA(Pro)[c],6.1.1.15,YHR020W,,,,,kegg.reaction/R03661;metanetx.reaction/MNXR103208;sbo/SBO:0000176,sce00970  Aminoacyl-tRNA biosynthesis,,,,2.0,0.033729142000000004,0.07299847799999999
719,,r_0942,protoporphyrinogen oxidase,3 oxygen[m] + 2 protoporphyrinogen[m] => 6 H2O[m] + 2 protoporphyrin[m],1.3.3.4,YER014W,,,,,kegg.reaction/R03222;metanetx.reaction/MNXR103132;sbo/SBO:0000176,sce00860  Porphyrin and chlorophyll metabolism;sce01110  Biosynthesis of secondary metabolites,,,,2.0,8.914238699999998e-08,1.9292689000000002e-07
720,,r_0943,purine-nucleoside phosphorylase,nicotinamide ribose[c] + phosphate[c] => alpha-D-ribose 1-phosphate(2-)[c] + H+[c] + nicotinamide[c],2.4.2.1; 2.4.2.28; 3.2.2.3,YDR400W and YLR017W and YLR209C,,,,,metanetx.reaction/MNXR103048;pmid/17482543;sbo/SBO:0000176,sce00230  Purine metabolism;sce00240  Pyrimidine metabolism;sce00270  Cysteine and methionine metabolism;sce00760  Nicotinate and nicotinamide metabolism;sce01110  Biosynthesis of secondary metabolites,,,17482543,3.0,0.0,0.0
721,,r_0949,guanosine phosphorylase,guanosine[c] + phosphate[c] <=> alpha-D-ribose 1-phosphate(2-)[c] + guanine[c],2.4.2.1,YLR209C,,,,,metanetx.reaction/MNXR103345;pmid/23670538;sbo/SBO:0000176,sce00230  Purine metabolism;sce00240  Pyrimidine metabolism;sce00760  Nicotinate and nicotinamide metabolism;sce01110  Biosynthesis of secondary metabolites,,,23670538,3.0,0.0,0.0
722,,r_0950,guanosine phosphorylase,guanosine[m] + phosphate[m] <=> alpha-D-ribose 1-phosphate(2-)[m] + guanine[m],2.4.2.1,YLR209C,,,,,metanetx.reaction/MNXR103345;pmid/23670538;sbo/SBO:0000176,sce00230  Purine metabolism;sce00240  Pyrimidine metabolism;sce00760  Nicotinate and nicotinamide metabolism;sce01110  Biosynthesis of secondary metabolites,,,23670538,3.0,0.0,0.0
723,,r_0951,inosine phosphorylase,inosine[c] + phosphate[c] <=> alpha-D-ribose 1-phosphate(2-)[c] + hypoxanthine[c],2.4.2.1,YLR209C,,,,,metanetx.reaction/MNXR103347;pmid/23670538;sbo/SBO:0000176,sce00230  Purine metabolism;sce00240  Pyrimidine metabolism;sce00760  Nicotinate and nicotinamide metabolism;sce01110  Biosynthesis of secondary metabolites,,,23670538,3.0,0.0,0.0
724,,r_0953,pyridoxal oxidase,ammonium[c] + 2 H2O[c] + 0.5 oxygen[c] + pyridoxal[c] => 2 hydrogen peroxide[c] + pyridoxamine[c],1.4.3.5,YBR035C,,,,,metanetx.reaction/MNXR103365;sbo/SBO:0000176,sce00750  Vitamin B6 metabolism,,,,2.0,0.0,0.0
725,,r_0954,pyridoxamine 5'-phosphate oxidase,H2O[c] + oxygen[c] + pyridoxamine 5'-phosphate[c] => ammonium[c] + hydrogen peroxide[c] + pyridoxal 5'-phosphate[c],1.4.3.5,YBR035C,,,,,metanetx.reaction/MNXR103355;sbo/SBO:0000176,sce00750  Vitamin B6 metabolism,,,,2.0,0.0,0.0
726,,r_0955,pyridoxine 5'-phosphate oxidase,oxygen[c] + pyridoxine 5'-phosphate[c] <=> hydrogen peroxide[c] + pyridoxal 5'-phosphate[c],1.4.3.5,YBR035C,,,,,kegg.reaction/R00278;metanetx.reaction/MNXR102438;sbo/SBO:0000176,sce00750  Vitamin B6 metabolism,,,,2.0,0.0,0.0
727,,r_0956,pyridoxine oxidase,oxygen[c] + pyridoxine[c] => hydrogen peroxide[c] + pyridoxal[c],1.4.3.5,YBR035C,,,,,kegg.reaction/R01711;metanetx.reaction/MNXR103363;sbo/SBO:0000176,sce00750  Vitamin B6 metabolism,,,,2.0,0.0,0.0
728,,r_0957,pyrroline-5-carboxylate reductase,1-pyrroline-5-carboxylate[c] + 2 H+[c] + NADPH[c] => L-proline[c] + NADP(+)[c],1.5.1.2,YER023W,,,,,metanetx.reaction/MNXR102302;sbo/SBO:0000176,sce00330  Arginine and proline metabolism;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids,,,,2.0,0.033729142000000004,0.07299847799999999
729,,r_0958,pyruvate carboxylase,ATP[c] + bicarbonate[c] + pyruvate[c] => ADP[c] + H+[c] + oxaloacetate[c] + phosphate[c],6.4.1.1,YBR218C or YGL062W,,,,,kegg.reaction/R00344;metanetx.reaction/MNXR102391;sbo/SBO:0000176,sce00020  Citrate cycle (TCA cycle);sce00620  Pyruvate metabolism;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids,,,,2.0,0.46418017,1.0046044
730,,r_0959,pyruvate decarboxylase,H+[c] + pyruvate[c] => acetaldehyde[c] + carbon dioxide[c],4.1.1.-; 4.1.1.1; 4.1.1.43; 4.1.1.74,YGR087C or YLR044C or YLR134W,,,,,kegg.reaction/R00224;metanetx.reaction/MNXR103379;sbo/SBO:0000176,Gluconeogenesis;sce00010  Glycolysis;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics,,,,2.0,0.24025033,0.51996308
731,,r_0960,pyruvate decarboxylase (acetoin-forming),acetaldehyde[c] + H+[c] + pyruvate[c] => (R)-acetoin[c] + carbon dioxide[c],4.1.1.-; 4.1.1.1; 4.1.1.43; 4.1.1.74,YGR087C or YLR044C or YLR134W,,,,,metanetx.reaction/MNXR103380;pmid/12902239;sbo/SBO:0000176,Gluconeogenesis;sce00010  Glycolysis;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics,,,12902239,3.0,0.0,0.0
732,,r_0961,pyruvate dehydrogenase,coenzyme A[m] + NAD[m] + pyruvate[m] => acetyl-CoA[m] + carbon dioxide[m] + NADH[m],1.2.4.1; 1.8.1.4; 2.3.1.12,YBR221C and YER178W and YFL018C and YGR193C and YNL071W,,,,,kegg.reaction/R00209;metanetx.reaction/MNXR102425;pmid/8433986;sbo/SBO:0000176,"Gluconeogenesis;sce00010  Glycolysis;sce00020  Citrate cycle (TCA cycle);sce00260  Glycine, serine and threonine metabolism;sce00280  Valine, leucine and isoleucine degradation;sce00620  Pyruvate metabolism;sce00630  Glyoxylate and dicarboxylate metabolism;sce00640  Propanoate metabolism;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism",,,8433986,3.0,0.44634546,0.96600558
733,,r_0962,pyruvate kinase,ADP[c] + H+[c] + phosphoenolpyruvate[c] => ATP[c] + pyruvate[c],2.7.1.40,YAL038W or YOR347C,,,,,kegg.reaction/R00200;metanetx.reaction/MNXR103371;pmid/6185493;sbo/SBO:0000176,Gluconeogenesis;sce00010  Glycolysis;sce00230  Purine metabolism;sce00620  Pyruvate metabolism;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids,,,6185493,3.0,1.4403758999999998,3.1173412999999996
734,,r_0963,quinone oxidoreductase,"2-hexaprenyl-6-methoxy-3-methyl-1,4-benzoquinone[m] + H+[m] + NADH[m] + oxygen[m] => 2-hexaprenyl-5-hydroxy-6-methoxy-3-methyl-1,4-benzoquinone[m] + H2O[m] + NAD[m]",1.14.13.-; 2.1.1.114; 2.1.1.201; 2.1.1.64; 2.7.-.-,YDR204W and YGL119W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C,,,,,sbo/SBO:0000176,sce00130  Ubiquinone and other terpenoid-quinone biosynthesis;sce01110  Biosynthesis of secondary metabolites,,,,2.0,0.0,0.0
735,,r_0965,riboflavin kinase,ATP[c] + riboflavin[c] => ADP[c] + FMN[c] + H+[c],2.7.1.26,YDR236C,,,,,kegg.reaction/R00549;metanetx.reaction/MNXR103429;sbo/SBO:0000176,sce00740  Riboflavin metabolism;sce01110  Biosynthesis of secondary metabolites,,,,2.0,0.0,0.0
736,,r_0966,riboflavin kinase,ATP[m] + riboflavin[m] => ADP[m] + FMN[m] + H+[m],2.7.1.26,YDR236C,,,,,kegg.reaction/R00549;metanetx.reaction/MNXR103429;sbo/SBO:0000176,sce00740  Riboflavin metabolism;sce01110  Biosynthesis of secondary metabolites,,,,2.0,0.0,0.0
737,,r_0967,riboflavin synthase,"2-hydroxy-3-oxobutyl phosphate[c] + 5-amino-6-(D-ribitylamino)uracil[c] => 6,7-dimethyl-8-(1-D-ribityl)lumazine[c] + 2 H2O[c] + phosphate[c]",2.5.1.78,YOL143C,,,,,kegg.reaction/R04457;metanetx.reaction/MNXR97501;sbo/SBO:0000176,sce00740  Riboflavin metabolism;sce01110  Biosynthesis of secondary metabolites,,,,2.0,0.00035656954,0.00077170755
738,,r_0968,riboflavin synthase,"2 6,7-dimethyl-8-(1-D-ribityl)lumazine[c] => 5-amino-6-(D-ribitylamino)uracil[c] + riboflavin[c]",2.5.1.9,YBR256C,,,,,kegg.reaction/R00066;metanetx.reaction/MNXR103430;sbo/SBO:0000176,sce00740  Riboflavin metabolism;sce01110  Biosynthesis of secondary metabolites,,,,2.0,0.00017828477,0.00038585377
739,,r_0969,ribokinase,ATP[c] + D-ribose[c] => ADP[c] + H+[c] + ribose-5-phosphate[c],2.7.1.15,YCR036W,,,,,metanetx.reaction/MNXR103431;pmid/1964349;sbo/SBO:0000176,sce00030  Pentose phosphate pathway,,,1964349,3.0,0.0,0.0
740,,r_0970,ribonucleoside-triphosphate reductase (ATP),ATP[c] + TRX1[c] => dATP[c] + H2O[c] + TRX1 disulphide[c],,YGR209C,,,,,kegg.reaction/R02014;metanetx.reaction/MNXR104070;sbo/SBO:0000176,,,,,2.0,0.0,0.0
741,,r_0971,ribonucleoside-triphosphate reductase (CTP),CTP[c] + TRX1[c] => dCTP[c] + H2O[c] + TRX1 disulphide[c],,YGR209C,,,,,kegg.reaction/R02022;metanetx.reaction/MNXR104076;sbo/SBO:0000176,,,,,2.0,0.0,0.0
742,,r_0972,ribonucleoside-triphosphate reductase (GTP),GTP[c] + TRX1[c] => dGTP[c] + H2O[c] + TRX1 disulphide[c],,YGR209C,,,,,kegg.reaction/R02020;metanetx.reaction/MNXR104073;sbo/SBO:0000176,,,,,2.0,0.0,0.0
743,,r_0973,ribonucleoside-triphosphate reductase (UTP),UTP[c] + TRX1[c] => dUTP[c] + H2O[c] + TRX1 disulphide[c],,YGR209C,,,,,kegg.reaction/R02023;metanetx.reaction/MNXR104079;sbo/SBO:0000176,,,,,2.0,0.0,0.0
744,,r_0974,ribonucleotide reductase,ADP[c] + TRX1[c] => dADP[c] + H2O[c] + TRX1 disulphide[c],1.17.4.1,YER070W or YGR180C or YIL066C or YJL026W,,,,,kegg.reaction/R02017;metanetx.reaction/MNXR104060;sbo/SBO:0000176,sce00230  Purine metabolism;sce00240  Pyrimidine metabolism;sce00480  Glutathione metabolism,,,,2.0,0.00064182518,0.0013890735999999998
745,,r_0975,ribonucleotide reductase,ADP[n] + TRX1[n] => dADP[n] + H2O[n] + TRX1 disulphide[n],1.17.4.1,YER070W or YGR180C or YIL066C or YJL026W,,,,,kegg.reaction/R02017;metanetx.reaction/MNXR104060;sbo/SBO:0000176,sce00230  Purine metabolism;sce00240  Pyrimidine metabolism;sce00480  Glutathione metabolism,,,,2.0,0.0,0.0
746,,r_0976,ribonucleotide reductase,CDP[c] + TRX1[c] => dCDP[c] + H2O[c] + TRX1 disulphide[c],1.17.4.1,YER070W or YGR180C or YIL066C or YJL026W,,,,,kegg.reaction/R02024;metanetx.reaction/MNXR104064;sbo/SBO:0000176,sce00230  Purine metabolism;sce00240  Pyrimidine metabolism;sce00480  Glutathione metabolism,,,,2.0,0.0010697087,0.0023151227
747,,r_0977,ribonucleotide reductase,CDP[n] + TRX1[n] => dCDP[n] + H2O[n] + TRX1 disulphide[n],1.17.4.1,YER070W or YGR180C or YIL066C or YJL026W,,,,,kegg.reaction/R02024;metanetx.reaction/MNXR104064;sbo/SBO:0000176,sce00230  Purine metabolism;sce00240  Pyrimidine metabolism;sce00480  Glutathione metabolism,,,,2.0,0.0,0.0
748,,r_0978,ribonucleotide reductase,GDP[c] + TRX1[c] => dGDP[c] + H2O[c] + TRX1 disulphide[c],1.17.4.1,YER070W or YGR180C or YIL066C or YJL026W,,,,,kegg.reaction/R02019;metanetx.reaction/MNXR104062;sbo/SBO:0000176,sce00230  Purine metabolism;sce00240  Pyrimidine metabolism;sce00480  Glutathione metabolism,,,,2.0,0.00042788348,0.00092604913
749,,r_0979,ribonucleotide reductase,GDP[n] + TRX1[n] => dGDP[n] + H2O[n] + TRX1 disulphide[n],1.17.4.1,YER070W or YGR180C or YIL066C or YJL026W,,,,,kegg.reaction/R02019;metanetx.reaction/MNXR104062;sbo/SBO:0000176,sce00230  Purine metabolism;sce00240  Pyrimidine metabolism;sce00480  Glutathione metabolism,,,,2.0,0.0,0.0
750,,r_0982,ribose-5-phosphate isomerase,D-ribulose 5-phosphate[c] <=> ribose-5-phosphate[c],5.3.1.6,YOR095C,,,,,metanetx.reaction/MNXR104084;pmid/9763699;sbo/SBO:0000176,sce00030  Pentose phosphate pathway;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids,,,9763699,3.0,0.12621937,0.28884965
751,,r_0983,ribosylnicotinamide kinase,ATP[c] + nicotinamide ribose[c] => ADP[c] + H+[c] + NMN[c],2.7.1.173; 2.7.1.22,YNL129W,,,,,kegg.reaction/R02324;metanetx.reaction/MNXR104069;pmid/15137942;sbo/SBO:0000176,sce00760  Nicotinate and nicotinamide metabolism,,,15137942,3.0,0.0,0.0
752,,r_0984,ribulose 5-phosphate 3-epimerase,D-ribulose 5-phosphate[c] <=> D-xylulose 5-phosphate[c],5.1.3.1,YJL121C,,,,,kegg.reaction/R01529;metanetx.reaction/MNXR104083;pmid/9032985;sbo/SBO:0000176,sce00030  Pentose phosphate pathway;sce00040  Pentose and glucuronate interconversions;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids,,,9032985,3.0,0.07940773799999999,0.20321602
753,,r_0985,"S-adenosyl-L-methionine:3-hexaprenyl-4,5-dihydroxylate O-methyltransferase","3-hexaprenyl-4,5-dihydroxybenzoic acid[m] + S-adenosyl-L-methionine[m] => 3-hexaprenyl-4-hydroxy-5-methoxybenzoic acid[m] + H+[m] + S-adenosyl-L-homocysteine[m]",1.14.13.-; 2.1.1.114; 2.1.1.201; 2.1.1.64; 2.7.-.-,YDR204W and YGL119W and YGR255C and YLR201C and YML110C and YOL096C and YOR125C,,,,,kegg.reaction/R04711;metanetx.reaction/MNXR94862;pmid/15792955;sbo/SBO:0000176,sce00130  Ubiquinone and other terpenoid-quinone biosynthesis;sce01110  Biosynthesis of secondary metabolites,,,15792955,3.0,0.0,0.0
754,,r_0986,S-adenosyl-methionine delta-24-sterol-c-methyltransferase,S-adenosyl-L-methionine[c] + zymosterol[c] => fecosterol[c] + H+[c] + S-adenosyl-L-homocysteine[c],2.1.1.41,YML008C,,,,,kegg.reaction/R04427;metanetx.reaction/MNXR104270;sbo/SBO:0000176,sce00100  Steroid biosynthesis;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics,,,,2.0,0.0,0.0
755,,r_0987,S-formylglutathione hydralase,H2O[c] + S-formylglutathione[c] <=> formate[c] + glutathione[c] + H+[c],3.1.2.12,YJL068C,,,,,kegg.reaction/R00527;metanetx.reaction/MNXR104357;sbo/SBO:0000176,sce01200  Carbon metabolism,,,,2.0,0.0,0.0
756,,r_0988,"saccharopine dehydrogenase (NAD, L-lysine forming)",H2O[c] + L-saccharopine[c] + NAD[c] => 2-oxoglutarate[c] + H+[c] + L-lysine[c] + NADH[c],1.5.1.7,YIR034C,,,,,kegg.reaction/R00715;metanetx.reaction/MNXR104237;pmid/3928261;sbo/SBO:0000176,sce00300  Lysine biosynthesis;sce00310  Lysine degradation;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids,,,3928261,3.0,0.058611292999999995,0.12684981
757,,r_0989,"saccharopine dehydrogenase (NADP, L-glutamate forming)",H+[c] + L-allysine[c] + L-glutamate[c] + NADPH[c] => H2O[c] + L-saccharopine[c] + NADP(+)[c],1.5.1.10,YNR050C,,,,,kegg.reaction/R02315;metanetx.reaction/MNXR104236;pmid/3123231;sbo/SBO:0000176,sce00300  Lysine biosynthesis;sce00310  Lysine degradation;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids,,,3123231,3.0,0.058611292999999995,0.12684981
758,,r_0990,"sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase","sedoheptulose 1,7-bisphosphate[c] <=> D-erythrose 4-phosphate[c] + dihydroxyacetone phosphate[c]",4.1.2.13,YKL060C,,,,,kegg.reaction/R01829;metanetx.reaction/MNXR99461;sbo/SBO:0000176,Gluconeogenesis;sce00010  Glycolysis;sce00030  Pentose phosphate pathway;sce00051  Fructose and mannose metabolism;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01200  Carbon metabolism;sce01230  Biosynthesis of amino acids,,,,2.0,1.4454187,3.0733798
759,,r_0992,serine O-acetyltransferase,acetyl-CoA[c] + L-serine[c] => coenzyme A[c] + O-acetyl-L-serine[c],,(YDL040C and YGR147C and YHR013C) or (YDL040C and YGR147C),,,,,kegg.reaction/R00586;metanetx.reaction/MNXR104275;pmid/8335636;sbo/SBO:0000176,,,,8335636,3.0,0.0,0.0
760,,r_0993,serine palmitotransferase,L-serine[er] + palmitoyl-CoA[er] => 3-ketosphinganine[er] + carbon dioxide[er] + coenzyme A[er],2.3.1.50,(YBR058C-A and YDR062W and YMR296C) or (YDR062W and YMR296C),,,,,kegg.reaction/R01281;metanetx.reaction/MNXR104347;pmid/10713067;pmid/18296751;pmid/2066332;pmid/8058731;sbo/SBO:0000176,sce00600  Sphingolipid metabolism;sce04138  Autophagy - yeast,,,10713067; 18296751; 2066332; 8058731,3.0,0.0,0.0
761,,r_0995,seryl-tRNA synthetase,ATP[c] + L-serine[c] + tRNA(Ser)[c] => AMP[c] + diphosphate[c] + Ser-tRNA(Ser)[c],6.1.1.11,YDR023W or YHR011W,,,,,kegg.reaction/R03662;metanetx.reaction/MNXR104350;pmid/3031581;sbo/SBO:0000176,sce00970  Aminoacyl-tRNA biosynthesis,,,3031581,3.0,0.037968322,0.082173147
762,,r_0996,shikimate dehydrogenase,3-dehydroshikimate[c] + H+[c] + NADPH[c] => NADP(+)[c] + shikimate[c],1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4,YDR127W,,,,,kegg.reaction/R02413;metanetx.reaction/MNXR104378;pmid/6355828;sbo/SBO:0000176,"sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids",,,6355828,3.0,0.055219856,0.11950987
763,,r_0997,shikimate kinase,ATP[c] + shikimate[c] => 3-phosphoshikimic acid[c] + ADP[c] + H+[c],1.1.1.25; 2.5.1.19; 2.7.1.71; 4.2.1.10; 4.2.3.4,YDR127W,,,,,kegg.reaction/R02412;metanetx.reaction/MNXR104379;pmid/6355828;sbo/SBO:0000176,"sce00400  Phenylalanine, tyrosine and tryptophan biosynthesis;sce01110  Biosynthesis of secondary metabolites;sce01130  Biosynthesis of antibiotics;sce01230  Biosynthesis of amino acids",,,6355828,3.0,0.055219856,0.11950987
764,,r_0998,sirohydrochlorin dehydrogenase,NAD[c] + precorrin-2[c] => H+[c] + NADH[c] + sirohydrochlorin[c],1.3.1.76; 4.99.1.4,YBR213W,,,,,metanetx.reaction/MNXR104373;pmid/11980703;sbo/SBO:0000176,sce00860  Porphyrin and chlorophyll metabolism;sce01110  Biosynthesis of secondary metabolites,,,11980703,3.0,0.0,0.0
765,,r_0999,sirohydrochlorin ferrochetalase,iron(2+)[c] + sirohydrochlorin[c] => 3 H+[c] + siroheme[c],1.3.1.76; 4.99.1.4,YBR213W,,,,,kegg.reaction/R02864;metanetx.reaction/MNXR104375;pmid/11980703;sbo/SBO:0000176,sce00860  Porphyrin and chlorophyll metabolism;sce01110  Biosynthesis of secondary metabolites,,,11980703,3.0,0.0,0.0
766,,r_1000,fumarate reductase (FMN),FMNH2[c] + fumarate[c] <=> FMN[c] + succinate[c],1.3.1.6,YEL047C,,,,,kegg.reaction/R00408;metanetx.reaction/MNXR99636;pmid/22672422;pmid/12393208;sbo/SBO:0000176,,,,22672422; 12393208,3.0,0.0,0.0
767,,r_1001,spermidine synthase,putrescine[c] + S-adenosylmethioninamine[c] => 5'-S-methyl-5'-thioadenosine[c] + H+[c] + spermidine[c],2.5.1.16,YPR069C,,,,,kegg.reaction/R01920;metanetx.reaction/MNXR95860;sbo/SBO:0000176,sce00270  Cysteine and methionine metabolism;sce00330  Arginine and proline metabolism;sce00410  beta-Alanine metabolism;sce00480  Glutathione metabolism,,,,2.0,0.0,0.0
768,,r_1002,spermine synthase,S-adenosylmethioninamine[c] + spermidine[c] => 5'-S-methyl-5'-thioadenosine[c] + H+[c] + spermine[c],2.5.1.22,YLR146C,,,,,kegg.reaction/R02869;metanetx.reaction/MNXR96042;sbo/SBO:0000176,sce00270  Cysteine and methionine metabolism;sce00330  Arginine and proline metabolism;sce00410  beta-Alanine metabolism;sce00480  Glutathione metabolism,,,,2.0,0.0,0.0
769,,r_1003,sphinganine phosphate lyase,sphinganine 1-phosphate[er] => hexadecanal[er] + O-phosphoethanolamine[er],4.1.2.27,YDR294C,,,,,kegg.reaction/R02464;metanetx.reaction/MNXR104365;pmid/18296751;pmid/9334171;sbo/SBO:0000176,sce00600  Sphingolipid metabolism,,,18296751; 9334171,3.0,0.0,0.0
770,,r_1004,sphingoid base-phosphate phosphatase (phytosphingosine 1-phosphate),H2O[er] + phytosphingosine 1-phosphate[er] => phosphate[er] + phytosphingosine[er],3.1.3.-,YJL134W or YKR053C,,,,,metanetx.reaction/MNXR104281;pmid/18296751;pmid/9353337;pmid/9419344;sbo/SBO:0000176,sce00600  Sphingolipid metabolism,,,18296751; 9353337; 9419344,3.0,0.0,0.0
771,,r_1005,sphingoid base-phosphate phosphatase (sphinganine 1-phosphatase),H2O[er] + sphinganine 1-phosphate[er] => phosphate[er] + sphinganine[er],3.1.3.-,YJL134W or YKR053C,,,,,kegg.reaction/R06520;metanetx.reaction/MNXR104280;pmid/18296751;pmid/9353337;pmid/9419344;sbo/SBO:0000176,sce00600  Sphingolipid metabolism,,,18296751; 9353337; 9419344,3.0,0.0,0.0
772,,r_1006,sphingolipid long chain base kinase (phytosphingosine),ATP[er] + phytosphingosine[er] => ADP[er] + H+[er] + phytosphingosine 1-phosphate[er],2.7.1.91,YLR260W or YOR171C,,,,,metanetx.reaction/MNXR104440;pmid/18296751;pmid/9677363;sbo/SBO:0000176,sce00600  Sphingolipid metabolism,,,18296751; 9677363,3.0,0.0,0.0
