"","Chr","Start","End","Strand","Length","wt00_sorted.bam","wt02_sorted.bam","wt05_sorted.bam","wt10_sorted.bam","wt15_sorted.bam","wt20_sorted.bam","wt30_sorted.bam","wt45_sorted.bam"
"YDR375C","IV","1225166","1226536","-",1371,365,294,307,240,184,187,166,193
"YDR376W","IV","1226822","1228303","+",1482,608,571,448,455,368,319,390,344
"YDR377W","IV","1228611","1228916","+",306,1229,1237,1127,1011,643,458,350,457
"YDR378C","IV","1229349","1229609","-",261,156,162,171,211,232,253,348,319
"YDR379W","IV","1230167","1233196","+",3030,667,653,841,752,582,438,479,522
"YDR379C-A","IV","1233278","1233517","-",240,404,431,454,204,118,59,38,49
"YDR380W","IV","1234218","1236125","+",1908,5371,5074,6066,3030,744,212,109,350
"YDR381W","IV;IV","1236558;1237609","1236842;1238004","+;+",681,1086,995,1329,1286,1389,1677,2200,2296
"YDR381C-A","IV;IV","1238312;1238825","1238630;1238850","-;-",345,523,447,318,195,103,112,118,148
"YDR382W","IV","1239492","1239824","+",333,300,297,683,1491,2062,3158,6248,8216
"YDR383C","IV","1239960","1240676","-",717,168,168,192,156,113,91,113,109
"YDR384C","IV","1241204","1242031","-",828,785,853,716,136,119,221,466,361
"YDR385W","IV","1243230","1245758","+",2529,2042,1906,2679,5421,6510,9718,17435,18461
"YDR386W","IV","1246084","1247982","+",1899,261,239,261,266,261,242,266,283
"YDR387C","IV","1248154","1249821","-",1668,500,463,431,206,124,116,157,172
"YDR388W","IV","1250186","1251634","+",1449,2442,2428,2294,1675,1115,1094,1179,1194
"YDR389W","IV","1252537","1254501","+",1965,495,429,671,653,536,512,639,584
"YDR390C","IV","1254937","1256847","-",1911,513,489,546,611,617,722,922,749
"YDR391C","IV","1257358","1258056","-",699,526,548,601,415,227,175,134,162
"YDR392W","IV","1258696","1259709","+",1014,439,435,385,271,220,224,263,267
"YDR393W","IV","1259901","1261271","+",1371,398,342,271,281,233,212,245,230
"YDR394W","IV","1261681","1262967","+",1287,1502,1431,1366,1232,924,848,912,798
"YDR395W","IV","1263324","1266158","+",2835,149,133,564,1596,1731,2131,2740,1704
"YDR396W","IV","1266295","1266795","+",501,1,0,2,7,4,4,10,7
"YDR397C","IV;IV","1266366;1266862","1266769;1266898","-;-",441,316,348,418,390,299,327,379,340
"YDR398W","IV","1267471","1269402","+",1932,30,42,470,817,919,1308,1295,597
"YDR399W","IV","1270068","1270733","+",666,296,350,1673,3260,2825,2447,1457,623
"YDR400W","IV","1271063","1272085","+",1023,116,110,145,227,289,419,479,350
"YDR401W","IV","1272223","1272786","+",564,18,6,14,12,15,7,9,10
"YDR402C","IV","1272234","1273703","-",1470,18,21,21,19,9,8,8,14
"YDR403W","IV","1274602","1276212","+",1611,51,55,41,38,21,24,23,12
"YDR404C","IV","1276654","1277169","-",516,653,544,459,476,429,450,498,494
"YDR405W","IV","1277646","1278437","+",792,641,599,348,230,157,156,173,177
"YDR406W","IV","1279210","1283799","+",4590,1667,1388,751,317,184,154,194,326
"YDR406W-A","IV","1283799","1284044","+",246,41,26,20,6,5,5,9,7
"YDR407C","IV","1284069","1287938","-",3870,393,377,563,1148,872,676,860,883
"YDR408C","IV","1288215","1288859","-",645,677,665,739,967,923,918,648,235
"YDR409W","IV","1289406","1292120","+",2715,569,433,507,585,479,425,359,298
"YDR410C","IV","1292372","1293091","-",720,51,73,114,195,189,185,181,185
"YDR411C","IV","1293369","1294394","-",1026,483,404,388,251,203,210,286,306
"YDR412W","IV","1294693","1295400","+",708,39,52,234,470,508,595,780,429
"YDR413C","IV","1294836","1295411","-",576,1,1,1,6,4,2,10,1
"YDR414C","IV","1295598","1296686","-",1089,43,29,102,178,181,190,244,188
"YDR415C","IV","1297037","1298161","-",1125,386,358,305,389,327,320,304,258
"YDR416W","IV","1298432","1301011","+",2580,329,305,375,484,407,373,446,347
"YDR417C","IV","1301555","1301926","-",372,4,5,1,8,6,3,7,4
"YDR418W","IV","1301616","1302113","+",498,145,148,535,1773,2509,3973,7863,9004
"YDR419W","IV","1303174","1305072","+",1899,225,210,279,303,267,257,288,243
"YDR420W","IV","1306267","1311675","+",5409,665,472,562,1104,811,850,878,709
"YDR421W","IV","1312040","1314892","+",2853,853,801,882,623,382,297,284,307
"YDR422C","IV","1315326","1317773","-",2448,712,598,575,497,368,396,455,430
"YDR423C","IV","1318046","1319275","-",1230,958,901,610,314,201,183,244,283
"YDR424C","IV;IV;IV","1319387;1319698;1319817","1319617;1319720;1319841","-;-;-",279,339,367,319,235,199,170,221,214
"YDR425W","IV","1320064","1321941","+",1878,1190,1080,620,346,223,189,225,241
"YDR427W","IV","1322205","1323386","+",1182,1662,1738,1449,1374,1178,1153,1034,943
"YDR428C","IV","1323454","1324239","-",786,147,158,155,158,176,230,265,174
"YDR429C","IV","1324477","1325301","-",825,483,440,883,1437,1636,2042,2708,1922
"YDR430C","IV","1325501","1328470","-",2970,1410,1184,882,737,514,447,474,432
"YDR432W","IV","1328783","1330027","+",1245,541,555,717,792,695,753,865,619
"YDR433W","IV","1329600","1330040","+",441,31,34,39,39,34,37,49,35
"YDR434W","IV","1331237","1332841","+",1605,570,570,673,731,627,635,781,715
"YDR435C","IV","1332983","1333969","-",987,762,758,496,138,105,79,97,96
"YDR436W","IV","1334821","1336953","+",2133,1189,1091,641,265,145,118,144,146
"YDR437W","IV","1337352","1337774","+",423,25,19,21,26,19,23,19,22
"YDR438W","IV","1338274","1339386","+",1113,143,113,109,132,110,119,130,105
"YDR439W","IV","1339676","1340719","+",1044,257,259,251,214,176,188,169,152
"YDR440W","IV","1342493","1344241","+",1749,135,113,157,235,239,297,440,379
"YDR441C","IV","1344517","1345062","-",546,61,57,78,90,125,125,218,147
"YDR443C","IV","1345676","1349938","-",4263,646,564,539,415,339,327,351,366
"YDR444W","IV","1350290","1352353","+",2064,297,243,202,239,216,271,343,376
"YDR446W","IV","1353725","1354633","+",909,1,1,2,7,1,3,2,6
"YDR447C","IV;IV","1354829;1355551","1355236;1355553","-;-",411,48,44,303,1095,1565,2371,4872,6068
"YDR448W","IV","1356065","1357369","+",1305,125,101,175,235,251,248,301,368
"YDR449C","IV","1357580","1358902","-",1323,3,10,297,492,492,729,681,359
"YDR450W","IV;IV","1359923;1360405","1359969;1360798","+;+",441,247,293,508,1424,1948,3035,5906,9000
"YDR451C","IV","1361120","1362181","-",1062,92,60,295,1008,586,485,574,589
"YDR452W","IV","1362878","1364902","+",2025,2888,2891,3028,3172,2634,2236,1985,2009
"YDR453C","IV","1365072","1365662","-",591,1519,1461,1283,819,508,366,219,85
"YDR454C","IV","1366264","1366827","-",564,223,213,264,355,432,620,1103,1496
"YDR456W","IV","1367485","1369386","+",1902,903,766,746,483,425,380,516,572
"YDR457W","IV","1369790","1379596","+",9807,2409,2301,1692,1543,1430,1624,1808,1649
"YDR458C","IV","1380055","1382046","-",1992,1151,1045,901,674,488,513,586,566
"YDR459C","IV","1382319","1383443","-",1125,161,151,191,218,200,178,196,192
"YDR460W","IV","1383811","1384776","+",966,481,480,354,299,225,237,304,223
"YDR461W","IV","1385176","1385286","+",111,152,155,204,298,352,448,618,410
"YDR461C-A","IV","1385524","1385766","-",243,700,592,505,354,217,143,105,109
"YDR462W","IV","1386073","1386516","+",444,562,451,204,178,127,100,117,103
"YDR463W","IV","1386816","1388375","+",1560,1080,1082,1123,1051,809,797,720,581
"YDR464W","IV","1388872","1393179","+",4308,517,581,1194,1402,1354,1566,1623,1358
"YDR465C","IV","1393336","1394574","-",1239,11,21,218,452,508,836,1196,595
"YDR466W","IV","1395121","1397817","+",2697,1033,971,1145,634,395,367,418,411
"YDR467C","IV","1397583","1397909","-",327,9,11,10,11,16,19,19,20
"YDR468C","IV","1398026","1398700","-",675,540,511,399,407,378,406,392,391
"YDR469W","IV","1399015","1399542","+",528,129,151,223,344,313,357,385,330
"YDR470C","IV","1399706","1401214","-",1509,619,545,320,274,166,199,199,220
"YDR471W","IV;IV","1401770;1402185","1401800;1402564","+;+",411,98,46,339,1384,1970,2852,4516,3964
"snR13","IV","1402919","1403042","+",124,2,6,4,0,1,0,3,2
"YDR472W","IV","1403322","1404173","+",852,110,122,162,202,193,185,244,204
"YDR473C","IV","1404445","1405854","-",1410,615,589,593,423,386,363,416,357
"YDR475C","IV","1407464","1410094","-",2631,873,792,760,392,236,205,235,331
"YDR476C","IV","1410453","1411127","-",675,199,214,161,113,76,59,80,111
"YDR477W","IV","1412373","1414274","+",1902,1527,1388,1029,743,604,574,724,678
"YDR478W","IV","1414575","1415171","+",597,36,39,42,89,91,89,103,50
"YDR479C","IV","1415210","1416874","-",1665,1422,1223,580,330,239,181,208,276
"YDR480W","IV","1417399","1418370","+",972,165,179,98,141,163,172,205,162
"YDR481C","IV","1418550","1420250","-",1701,1798,1800,2164,2325,1621,1579,2887,2704
"YDR482C","IV","1420431","1420838","-",408,98,114,226,163,149,143,132,91
"YDR483W","IV","1421157","1422485","+",1329,1626,1740,2669,2646,2175,2357,2858,2420
"YDR484W","IV","1422763","1424688","+",1926,483,482,377,327,225,236,274,297
"YDR485C","IV","1424820","1427207","-",2388,1120,1109,1099,708,523,513,599,526
"YDR486C","IV","1427431","1428120","-",690,637,670,580,491,395,392,385,341
"YDR487C","IV","1428354","1428980","-",627,515,505,635,711,717,897,1206,945
"YDR488C","IV","1429188","1430789","-",1602,71,70,83,69,68,114,135,135
"YDR489W","IV","1431012","1431896","+",885,109,92,92,98,114,122,129,111
"YDR490C","IV","1431968","1434268","-",2301,630,591,437,394,288,225,247,270
"YDR492W","IV","1434924","1435874","+",951,62,60,169,763,531,442,434,369
"YDR493W","IV","1436217","1436588","+",372,192,170,129,170,129,95,74,86
"YDR494W","IV","1436930","1438015","+",1086,1705,1711,607,425,359,301,366,348
"YDR495C","IV","1438115","1441150","-",3036,621,600,741,628,497,428,475,407
"YDR496C","IV","1441433","1443403","-",1971,9,22,646,1266,1173,1633,1856,855
"YDR497C","IV","1443713","1445467","-",1755,3217,2977,3161,10697,12766,14061,15959,14257
"YDR498C","IV","1445843","1446994","-",1152,416,411,226,166,131,119,172,173
"YDR499W","IV","1447830","1450073","+",2244,324,288,427,581,581,435,419,425
"YDR500C","IV;IV","1450198;1450847","1450457;1450853","-;-",267,177,189,394,880,1073,1473,2726,3814
"YDR501W","IV","1451353","1452918","+",1566,31,22,15,54,111,120,164,147
"YDR502C","IV","1453310","1454464","-",1155,338,324,1715,16529,19539,17927,10193,2819
"YDR503C","IV","1455042","1455866","-",825,108,123,91,46,36,85,102,118
"YDR504C","IV","1456311","1456694","-",384,224,262,178,85,43,53,54,96
"YDR505C","IV","1456695","1459220","-",2526,2089,1823,1614,744,461,414,467,668
"YDR506C","IV","1459728","1461554","-",1827,209,218,218,172,122,128,115,118
"YDR507C","IV","1462358","1465786","-",3429,161,152,295,2200,2073,1787,1838,1424
"YDR508C","IV","1466453","1468444","-",1992,1806,1353,1902,1274,1098,1553,2081,2028
"YDR510W","IV","1469400","1469705","+",306,914,912,898,774,809,925,1279,1400
"YDR510C-A","IV","1469695","1469811","-",117,5,0,0,1,0,3,1,1
"YDR511W","IV","1470017","1470418","+",402,484,414,226,164,113,85,84,90
"YDR512C","IV","1470500","1471063","-",564,453,424,413,290,219,180,162,159
"YDR513W","IV","1471017","1471448","+",432,3995,3835,2791,1518,722,418,274,466
"YDR514C","IV","1471548","1472999","-",1452,31,40,180,325,302,326,336,262
"YDR515W","IV","1473429","1474772","+",1344,170,121,274,417,344,349,293,281
"YDR516C","IV","1474974","1476476","-",1503,3749,3231,1571,340,125,54,68,260
"YDR517W","IV","1477239","1478357","+",1119,1109,998,713,371,276,310,397,368
"YDR518W","IV","1478608","1480161","+",1554,284,266,302,355,372,487,752,737
"YDR519W","IV","1480425","1480832","+",408,145,135,166,235,244,274,314,283
"YDR520C","IV","1481085","1483403","-",2319,292,255,415,355,305,266,250,231
"YDR523C","IV","1485566","1487038","-",1473,9,4,12,10,12,10,36,30
"YDR524C","IV","1487542","1488990","-",1449,316,281,384,477,413,453,519,400
"YDR524W-C","IV","1489403","1489492","+",90,0,0,1,4,1,2,3,4
"YDR524C-B","IV","1489598","1489798","-",201,485,631,1575,3533,4214,5277,7410,8056
"YDR525W-A","IV","1490596","1490835","+",240,354,299,229,112,76,57,49,63
"YDR526C","IV","1491075","1491545","-",471,1,1,2,1,3,0,3,0
"YDR527W","IV","1491094","1492413","+",1320,145,142,656,1043,797,633,541,315
"snR84","IV","1492477","1493026","-",550,10,15,57,81,36,36,41,25
"YDR528W","IV","1494586","1495857","+",1272,21,29,488,794,796,680,559,411
"YDR529C","IV","1496165","1496548","-",384,3430,3635,3032,1659,812,473,428,700
"YDR530C","IV","1496791","1497768","-",978,1195,1134,686,404,223,188,152,148
"YDR531W","IV","1498232","1499335","+",1104,287,285,345,434,396,421,606,557
"YDR532C","IV","1499396","1500553","-",1158,466,426,324,321,261,236,235,272
"YDR533C","IV","1501447","1502160","-",714,822,880,829,671,448,357,296,180
"YDR534C","IV","1503314","1504900","-",1587,58,35,12,9,9,18,27,53
"YDR535C","IV;IV","1506606;1507315","1507058;1507362","-;-",501,25,19,4,1,4,6,3,8
"YDR536W","IV","1508005","1509714","+",1710,11,12,4,4,3,1,0,0
"YDR538W","IV","1510902","1511630","+",729,158,162,96,93,79,65,97,93
"YDR539W","IV","1512094","1513605","+",1512,414,412,377,330,273,340,377,310
"YDR540C","IV","1517136","1517675","-",540,135,131,128,114,79,56,51,42
"YDR541C","IV","1519664","1520698","-",1035,101,117,150,252,225,195,192,162
"YDR545W","IV","1526321","1531711","+",5391,621,544,456,536,780,771,795,713
"YOL165C","XV","1647","2078","-",432,25,20,19,11,12,8,17,21
"YOL164W","XV","6175","8115","+",1941,188,138,160,380,212,127,106,117
"YOL163W","XV","9597","10106","+",510,38,29,52,377,72,27,16,6
"YOL162W","XV","10119","10766","+",648,33,22,35,255,64,5,12,8
"YOL160W","XV","14313","14654","+",342,4,1,1,4,1,4,6,2
"YOL159C-A","XV","15233","15505","-",273,41,41,31,40,43,42,36,45
"YOL159C","XV","17281","17796","-",516,165,188,171,181,125,109,102,101
"YOL158C","XV","19491","21311","-",1821,739,654,1043,1706,962,662,499,1307
"YOL157C","XV","22525","24294","-",1770,214,214,83,31,48,24,37,46
"YOL156W","XV","25273","26976","+",1704,10,8,7,5,1,1,1,2
"YOL155C","XV","28703","31606","-",2904,123,121,95,60,40,46,77,201
"YOL154W","XV","34658","35407","+",750,585,589,674,617,427,424,394,882
"YOL152W","XV","40748","42610","+",1863,12,12,9,5,8,4,7,10
"YOL151W","XV","43694","44722","+",1029,621,568,753,780,515,393,169,104
"YOL150C","XV","44473","44784","-",312,3,2,2,3,1,3,3,7
"YOL149W","XV","44938","45633","+",696,172,195,225,318,335,376,478,430
"YOL148C","XV","45760","47574","-",1815,459,408,476,385,334,322,327,315
"YOL147C","XV","47933","48643","-",711,458,434,287,151,112,172,157,110
"YOL146W","XV","48864","49448","+",585,106,127,118,125,150,192,182,151
"YOL145C","XV","49555","52788","-",3234,1343,1241,1227,1783,1713,1661,1873,1594
"YOL144W","XV","53098","54552","+",1455,18,43,322,526,375,568,600,284
"YOL143C","XV","54595","55104","-",510,831,804,849,617,461,485,565,507
"YOL142W","XV","55558","56280","+",723,95,101,147,247,276,315,330,237
"YOL141W","XV","56452","58539","+",2088,15,4,36,95,125,170,195,61
"YOL140W","XV","58759","60030","+",1272,140,117,185,251,307,439,554,252
"YOL139C","XV","60383","61024","-",642,680,750,1337,2180,2491,2861,3756,3050
"YOL138C","XV","61325","65350","-",4026,504,496,549,586,376,445,474,390
"YOL137W","XV","65621","67114","+",1494,163,141,257,255,233,288,337,270
"YOL136C","XV","67561","68754","-",1194,92,107,251,315,514,503,357,258
"YOL135C","XV","69376","70044","-",669,145,141,136,105,92,107,113,94
"YOL133W","XV","70325","70690","+",366,337,353,422,312,225,196,188,142
"YOL132W","XV","71300","72715","+",1416,9,16,24,11,10,6,10,5
"YOL131W","XV","73031","73357","+",327,16,7,3,5,5,1,1,2
"YOL130W","XV","74400","76979","+",2580,1342,1153,1430,1129,930,1197,1246,692
"YOL129W","XV","77560","78114","+",555,946,969,965,675,484,350,344,438
"YOL128C","XV","78352","79479","-",1128,22,14,51,61,63,103,124,90
"YOL127W","XV;XV","80348;80775","80360;81190","+;+",429,171,196,554,1727,2404,3777,7317,10421
"YOL126C","XV","81787","82920","-",1134,951,950,1177,226,104,117,234,250
"YOL125W","XV","83834","85264","+",1431,40,38,183,254,220,283,388,254
"YOL124C","XV","85456","86757","-",1302,3,13,195,339,447,695,725,332
"YOL123W","XV","87844","89448","+",1605,1701,1562,1274,748,798,1045,2691,3465
"YOL122C","XV","89692","91419","-",1728,435,395,418,622,436,356,354,460
"YOL121C","XV;XV","92026;92831","92440;92850","-;-",435,45,63,271,916,1272,1842,3490,3941
"YOL120C","XV;XV","93395;94291","93843;94402","-;-",561,177,207,340,1129,1617,2781,6170,8675
"YOL119C","XV","94856","96361","-",1506,1301,1226,1593,1498,762,488,310,203
"YOL118C","XV","96608","96916","-",309,4,5,5,4,2,3,6,3
"YOL117W","XV","97551","99488","+",1938,1057,1030,602,306,210,181,168,195
"YOL116W","XV","99809","100957","+",1149,879,752,512,280,250,202,254,266
"YOL115W","XV","101475","103229","+",1755,231,193,363,563,427,490,499,460
"YOL114C","XV","103317","103925","-",609,72,83,61,32,19,19,23,41
"YOL113W","XV","104326","106293","+",1968,720,596,495,738,361,270,365,480
"YOL112W","XV","106710","108188","+",1479,250,203,298,565,521,451,407,395
"YOL111C","XV","108258","108896","-",639,1002,852,737,536,294,272,335,344
"YOL110W","XV","109176","109889","+",714,153,149,141,154,81,48,50,49
"YOL109W","XV","110297","110638","+",342,4234,4129,4649,6113,6280,5777,5743,6069
"YOL108C","XV","111431","111886","-",456,343,316,264,359,227,183,168,171
"YOL107W","XV","112102","113130","+",1029,116,97,127,384,285,220,259,214
"YOL106W","XV","113226","113579","+",354,16,9,15,42,22,25,31,27
"YOL105C","XV","114138","115808","-",1671,280,123,243,223,159,196,240,213
"YOL104C","XV","116396","117454","-",1059,76,71,72,135,110,88,101,69
"YOL103W-B","XV","118000","123268","+",5269,3324,3149,3050,2969,2628,2999,3471,3158
"YOL103W","XV","124001","125830","+",1830,634,548,776,992,896,1034,1255,1261
"YOL102C","XV","125997","126689","-",693,118,111,125,135,181,175,250,218
"YOL101C","XV","126982","127920","-",939,58,47,55,358,181,84,59,122
"YOL100W","XV","129237","132482","+",3246,1795,1494,1207,715,589,478,530,552
"YOL099C","XV","132017","132508","-",492,13,8,8,13,16,13,18,14
"YOL098C","XV","132725","135838","-",3114,817,771,941,1302,1267,1441,1694,1227
"YOL097W-A","XV","136220","136405","+",186,2,4,15,13,15,15,18,8
"YOL097C","XV","136527","137825","-",1299,153,167,579,1047,1185,1595,2433,2182
"YOL096C","XV","138107","139045","-",939,727,719,386,240,168,136,123,137
"YOL095C","XV","139227","141347","-",2121,125,115,165,205,152,207,215,197
"YOL094C","XV","141584","142555","-",972,121,120,222,371,303,302,279,230
"YOL093W","XV","142815","143696","+",882,58,64,271,508,451,517,605,295
"YOL092W","XV","144204","145130","+",927,111,135,272,489,455,571,647,485
"YOL091W","XV","145334","147163","+",1830,16,28,38,41,39,47,84,61
"YOL090W","XV","147382","150276","+",2895,280,256,301,667,972,1067,1185,937
"YOL089C","XV","150398","153490","-",3093,554,477,648,400,303,293,311,279
"YOL088C","XV","153912","154745","-",834,541,568,428,385,312,311,422,345
"YOL087C","XV","155287","158637","-",3351,2662,2320,1361,505,338,325,384,592
"YOL086W-A","XV","159173","159445","+",273,187,153,144,193,109,73,72,101
"YOL086C","XV","159548","160594","-",1047,11035,9624,6961,7759,14414,22574,36764,40407
"YOL085W-A","XV","161579","161791","+",213,6,6,3,1,2,0,2,4
"YOL085C","XV","161673","162014","-",342,11,8,6,4,1,0,1,0
"YOL084W","XV","162356","165331","+",2976,1434,954,509,74,23,15,17,27
"YOL083W","XV","165714","166952","+",1239,2112,2007,1611,858,361,208,111,134
"YOL082W","XV","168727","169974","+",1248,2097,2016,1586,956,735,698,683,472
"YOL081W","XV","171070","180309","+",9240,4947,4697,3277,2155,1065,868,1030,1008
"YOL080C","XV","180558","181427","-",870,2,3,102,229,296,431,438,203
"YOL078W","XV","181682","185212","+",3531,296,255,422,488,424,418,434,355
"YOL077W-A","XV","185438","185644","+",207,495,549,482,450,307,244,211,189
"YOL077C","XV","185848","186723","-",876,18,25,481,1094,1092,1369,1809,1128
"YOL076W","XV","187024","189414","+",2391,151,111,416,629,645,850,896,762
"YOL075C","XV","189658","193542","-",3885,290,287,238,275,237,234,243,193
"YOL073C","XV","193832","194800","-",969,500,473,354,214,116,102,131,148
"YOL072W","XV","194970","196337","+",1368,261,264,264,174,129,147,171,151
"YOL071W","XV","196507","196995","+",489,849,851,637,364,160,109,89,99
"YOL070C","XV","197220","198725","-",1506,677,636,691,714,725,892,916,650
"YOL069W","XV","198942","200297","+",1356,320,301,232,271,212,270,312,273
"YOL068C","XV","200368","201879","-",1512,744,720,1028,868,608,697,696,690
"YOL067C","XV","201985","202518","-",534,146,162,183,164,99,111,98,103
"YOL066C","XV","202696","204471","-",1776,323,334,388,382,285,310,379,301
"YOL065C","XV","204731","205885","-",1155,438,396,410,276,195,138,163,163
"YOL064C","XV","206103","207176","-",1074,129,172,365,1025,1531,1128,732,464
"YOL063C","XV","207392","210265","-",2874,660,619,600,466,361,365,383,384
"YOL062C","XV","210520","211995","-",1476,993,1044,856,724,460,401,382,371
"YOL061W","XV","212244","213734","+",1491,278,261,738,1186,1009,1100,1277,902
"YOL060C","XV","214017","216137","-",2121,1381,1222,1159,767,539,430,461,487
"YOL059W","XV","217126","218448","+",1323,709,822,2630,2113,1869,1888,1220,752
"YOL058W","XV","219211","220473","+",1263,35,43,293,1048,1398,1463,2061,1221
"YOL057W","XV","220767","222902","+",2136,435,363,547,729,681,799,948,913
"YOL056W","XV","223268","224179","+",912,51,50,120,139,146,184,230,205
"YOL055C","XV","224420","226075","-",1656,252,210,268,291,199,205,164,185
"YOL054W","XV","228614","229834","+",1221,132,151,215,257,201,227,213,200
"YOL053W","XV","230085","231272","+",1188,943,950,353,155,110,92,111,151
"YOL052C-A","XV","231570","231755","-",186,3580,3198,2012,502,48,8,3,29
"YOL052C","XV","232446","233636","-",1191,104,88,162,261,266,356,509,345
"YOL051W","XV","234940","238185","+",3246,1207,1048,977,740,568,614,766,705
"YOL049W","XV","238619","240094","+",1476,1117,1053,1164,1152,1016,1052,1307,1398
"YOL048C","XV;XV","240204;241026","240947;241310","-;-",1029,1743,1657,856,346,193,122,96,206
"YOL047C","XV;XV","241614;242505","242441;242747","-;-",1071,3,8,25,23,2,3,4,1
"YOL045W","XV","243497","246802","+",3306,559,481,776,636,597,711,776,600
"YOL044W","XV","247150","248301","+",1152,310,376,194,164,130,121,139,107
"YOL043C","XV","248392","249534","-",1143,347,345,429,375,225,173,188,171
"YOL042W","XV","249825","250916","+",1092,301,235,245,205,183,145,170,183
"YOL041C","XV","251267","252646","-",1380,20,26,541,1090,995,1429,1660,851
"YOL040C","XV","253149","253577","-",429,209,198,517,1598,2229,3603,7182,8770
"YOL039W","XV","254297","254617","+",321,247,215,416,956,1225,1988,3884,5002
"YOL038C-A","XV","254926","255021","-",96,23,20,25,22,22,9,4,12
"YOL038W","XV","255337","256101","+",765,1255,1270,1065,992,877,846,868,805
"YOL036W","XV","256745","259030","+",2286,1298,1099,1294,973,683,746,728,683
"snR50","XV","259489","259578","+",90,1,4,5,3,6,3,6,5
"YOL034W","XV","259923","263204","+",3282,242,247,298,494,550,556,630,464
"YOL033W","XV","263475","265085","+",1611,485,416,264,240,237,194,215,192
"YOL032W","XV","265429","266169","+",741,1156,1054,342,200,128,97,107,124
"YOL031C","XV","266264","267529","-",1266,166,154,215,337,295,297,383,361
"YOL030W","XV","268187","269641","+",1455,705,578,662,1029,921,1102,1401,1354
"YOL029C","XV","269815","270420","-",606,49,75,160,252,218,283,277,230
"YOL028C","XV","270633","271370","-",738,86,61,112,205,210,229,243,186
"YOL027C","XV","272003","273724","-",1722,804,703,1021,1062,812,856,988,828
"YOL026C","XV","274012","274353","-",342,250,253,216,190,179,165,153,177
"YOL025W","XV","274957","276939","+",1983,444,412,313,222,177,137,157,140
"YOL024W","XV","277086","277604","+",519,13,8,7,5,0,0,7,8
"YOL023W","XV","278056","280086","+",2031,423,303,322,259,200,169,186,144
"YOL022C","XV","280272","281498","-",1227,52,54,214,444,546,691,923,497
"YOL021C","XV","282421","285426","-",3006,324,307,644,929,762,897,954,648
"YOL020W","XV","286172","287950","+",1779,603,455,567,566,481,518,627,647
"YOL019W","XV","288898","290553","+",1656,133,115,360,1046,646,582,683,560
"YOL018C","XV","290881","292074","-",1194,661,700,507,471,397,313,324,344
"YOL017W","XV","292529","294673","+",2145,70,61,73,190,356,308,404,317
"YOL016C","XV","294777","296120","-",1344,2405,2389,3524,1049,474,324,382,355
"YOL015W","XV","297078","298838","+",1761,97,95,136,41,39,62,71,76
"YOL014W","XV","299693","300067","+",375,17,38,114,25,38,57,90,74
"YOL013W-A","XV","301047","301238","+",192,2,2,4,1,3,2,4,4
"YOL013C","XV","301380","303035","-",1656,1061,1018,833,560,346,260,306,409
"YOL012C","XV","303579","303983","-",405,375,362,331,307,295,373,473,544
"YOL011W","XV","305349","307409","+",2061,485,291,534,639,489,610,888,578
"YOL010W","XV","307938","309041","+",1104,20,33,392,470,433,599,559,274
"YOL009C","XV","309324","310139","-",816,292,283,260,167,148,110,100,91
"YOL008W","XV","310312","310935","+",624,156,188,190,151,107,81,106,95
"YOL007C","XV","311342","312367","-",1026,43,36,106,878,645,472,625,486
"YOL006C","XV","313078","315387","-",2310,400,374,749,1012,1144,1308,1451,1265
"YOL005C","XV","315813","316175","-",363,124,147,197,249,229,276,329,304
"YOL004W","XV","316938","321548","+",4611,1803,1597,1426,1584,1291,1304,1575,1682
"YOL003C","XV","321858","322994","-",1137,173,152,195,210,212,226,251,302
"YOL002C","XV","323411","324364","-",954,75,78,155,493,461,339,313,328
"YOL001W","XV","325249","326130","+",882,475,426,314,268,212,234,249,208
"YOR001W","XV","326832","329033","+",2202,233,215,415,814,685,932,1064,649
"YOR002W","XV","329417","331051","+",1635,979,1010,903,746,607,613,639,714
"YOR003W","XV","331455","332891","+",1437,279,241,246,213,124,92,71,85
"YOR004W","XV","333592","334356","+",765,10,19,163,334,412,595,684,313
"YOR005C","XV","334509","337343","-",2835,448,387,389,270,179,175,165,142
"YOR006C","XV","337680","338621","-",942,76,86,154,312,313,380,406,287
"YOR007C","XV","338938","339978","-",1041,1677,1476,1715,1602,1493,1822,2549,2439
"YOR008C","XV","341278","342414","-",1137,1735,1511,1276,843,662,633,665,719
"YOR008W-B","XV","343929","344030","+",102,13,10,13,9,12,6,17,10
"YOR009W","XV","344335","345798","+",1464,60,57,89,36,27,35,55,53
"YOR010C","XV","346195","346950","-",756,77,77,79,35,24,23,19,21
"YOR011W","XV","349679","353863","+",4185,207,164,334,339,281,336,321,241
"YOR012W","XV","356543","356956","+",414,5,3,12,15,7,9,9,7
"YOR013W","XV","356751","357221","+",471,7,13,32,18,14,16,25,17
"YOR014W","XV","357674","359947","+",2274,2274,2030,1787,1271,1072,953,1072,1087
"YOR015W","XV","359993","360352","+",360,512,448,370,281,242,236,261,231
"YOR016C","XV","360461","361084","-",624,182,195,216,275,281,346,418,408
"YOR017W","XV","361412","363814","+",2403,514,391,358,341,302,356,380,398
"YOR018W","XV","364369","366882","+",2514,532,423,603,444,250,185,202,257
"YOR019W","XV","368127","370319","+",2193,3784,3642,2348,265,61,39,30,45
