Compound,Pathways of compound,ChEBI,Molecular-Weight,KEGG,Object ID
CPD-4211,PWY-922 // PWY0-1597 // PWY-5123 // ERGOSTEROL-SYN-PWY // PWY-5910 // PWY-6859 // PWY-5122,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57623'>57623</a>,243.069,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00235'>C00235</a>,CPD-4211
CPD-13691,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:83819'>83819</a>,1160.114,,CPD-13691
CPD-396,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16797'>16797</a>,137.161,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02918'>C02918</a>,CPD-396
CPD-13689,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:71541'>71541</a>,413.619,,CPD-13689
CPD-375,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16871'>16871</a>,165.148,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00971'>C00971</a>,CPD-375
CPD-9768,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY // PWY-5143,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:72745'>72745</a>,253.404,,CPD-9768
CPD-35,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:11951'>11951</a>,144.15,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02946'>C02946</a>,CPD-35
CPD-10687,PWY-7269 // PWY-7245 // PWY-7269-YEAST,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30322'>30322</a>,115.132,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18170'>C18170</a>,CPD-10687
CPD-3344,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15730'>15730</a>,102.069,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02193'>C02193</a>,CPD-3344
CPD-10793,PWY-7269 // PWY-7245 // PWY-7269-YEAST,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58860'>58860</a>,166.027,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16849'>C16849</a>,CPD-10793
CPD-334,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57441'>57441</a>,191.117,,CPD-334
CPD-6082,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-5760,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58374'>58374</a>,74.102,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02229'>C02229</a>,CPD-6082
CPD-30,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:7386'>7386</a>,129.158,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05936'>C05936</a>,CPD-30
METHYL-GLYOXAL,PWY-5386-1 // PWY-5458 // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-5456,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17158'>17158</a>,72.063d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00546'>C00546</a>,METHYL-GLYOXAL
CPD-294,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16468'>16468</a>,156.095,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02222'>C02222</a>,CPD-294
CPD-10204,PWY-7910,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:74456'>74456</a>,114.101,,CPD-10204
CPD-292,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17585'>17585</a>,238.412,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06123'>C06123</a>,CPD-292
CPD-10205,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:76245'>76245</a>,126.112,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20718'>C20718</a>,CPD-10205
CPD-29,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28420'>28420</a>,356.15,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03444'>C03444</a>,CPD-29
CPD-10206,PWY-7910,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:137994'>137994</a>,140.138,,CPD-10206
CPD-280,LYSDEGII-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16120'>16120</a>,115.108,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03273'>C03273</a>,CPD-280
CPD-10208,,,168.192,,CPD-10208
CPD-2743,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:142659'>142659</a>,178.233,,CPD-2743
3-P-SERINE,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // SERSYN-PWY // SER-GLYSYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57524'>57524</a>,183.057,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01005'>C01005</a>,3-P-SERINE
CPD-22658,PWY-4621-1,,988.821,,CPD-22658
GLYCOLALDEHYDE,PWY-6147 // PWY-6612 // FOLSYN-PWY // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY0-1280,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17071'>17071</a>,60.052d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00266'>C00266</a>,GLYCOLALDEHYDE
CPD-22418,,,392.606,,CPD-22418
CAMP,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58165'>58165</a>,328.201,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00575'>C00575</a>,CAMP
CPD-22382,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:50607'>50607</a>,358.35,,CPD-22382
CGMP,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57746'>57746</a>,344.2,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00942'>C00942</a>,CGMP
CPD-21116,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:77856'>77856</a>,132.22,,CPD-21116
CPD-12365,PWY-6502,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63224'>63224</a>,361.207,,CPD-12365
CPD-20962,,,163.219,,CPD-20962
CPD-12366,PWY-6502,,535.151,,CPD-12366
CPD-20961,,,165.235,,CPD-20961
CPD-12367,PWY-6502,,377.207,,CPD-12367
CPD-20960,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:132297'>132297</a>,150.243,,CPD-20960
CPD-13025,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:74604'>74604</a>,361.207,,CPD-13025
CPD-20959,,,149.192,,CPD-20959
CPD-3705,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:77740'>77740</a>,345.208,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00946'>C00946</a>,CPD-3705
CPD-20958,,,151.208,,CPD-20958
CPD-3707,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:60879'>60879</a>,328.201,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02353'>C02353</a>,CPD-3707
CPD-20275,,,232.193,,CPD-20275
CPD-3709,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:60837'>60837</a>,344.2,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06194'>C06194</a>,CPD-3709
CPD-20053,,,182.217,,CPD-20053
FMNH2,PWY-723 // PWY0-1597,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57618'>57618</a>,456.348,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01847'>C01847</a>,FMNH2
CPD-20047,,,269.401,,CPD-20047
CPD0-2461,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:62462'>62462</a>,151.127,,CPD0-2461
CPD-19602,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:75253'>75253</a>,168.026,,CPD-19602
RETINAL,PWY-7269 // PWY-7245 // PWY-7269-YEAST,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17898'>17898</a>,284.441,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00376'>C00376</a>,RETINAL
CPD-19492,,,158.11,,CPD-19492
2-TRANS6-TRANS-FARNESAL,PWY-7269 // PWY-7245 // PWY-7269-YEAST,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15894'>15894</a>,220.354,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03461'>C03461</a>,2-TRANS6-TRANS-FARNESAL
CPD-19395,,,260.226,,CPD-19395
XANTHOSINE-5-PHOSPHATE,PWY3O-743 // PWY3O-1 // SALVPURINE2-PWY // PWY-7221 // PWY-841 // PWY-7228,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57464'>57464</a>,362.192d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00655'>C00655</a>,XANTHOSINE-5-PHOSPHATE
CPD-19177,,,338.167,,CPD-19177
ITP,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:61402'>61402</a>,504.137,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00081'>C00081</a>,ITP
CPD-19042,,,103.121,,CPD-19042
IMP,PWY-7221 // PWY-7228 // PWY-6124 // PWY-7219 // PWY-841 // PWY-7229 // PWY-6610 // PWY3O-2220 // PWY3O-1,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58053'>58053</a>,346.193,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00130'>C00130</a>,IMP
CPD-19014,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:19641'>19641</a>,103.097,,CPD-19014
IDP,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58280'>58280</a>,425.165,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00104'>C00104</a>,IDP
CPD-18550,,,502.359,,CPD-18550
HYPOXANTHINE,PWY0-1296 // PWY-6610 // PWY3O-2220 // PWY3O-1,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17368'>17368</a>,136.113d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00262'>C00262</a>,HYPOXANTHINE
CPD-18539,,,252.226,,CPD-18539
GTP,PWY-7221 // PWY-7228 // PWY-7891 // PWY-7375 // PWY-6502 // PWY-5659 // PWY-6147 // PWY-6612 // FOLSYN-PWY // PWY-6168 // PWY-7219 // PWY-841 // PWY-7229 // PWY0-163,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:37565'>37565</a>,519.151,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00044'>C00044</a>,GTP
CPD-18238,PWY-4984 // PYRIMID-RNTSYN-PWY // PWY-7790 // ARGSYNBSUB-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:86994'>86994</a>,139.989,,CPD-18238
GMP,PWY-6620 // PWY3O-743 // PWY3O-1 // PWY-7221 // PWY-841 // PWY-7228,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58115'>58115</a>,361.207,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00144'>C00144</a>,GMP
CPD-1789,PWY3O-6,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17803'>17803</a>,146.099,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06316'>C06316</a>,CPD-1789
GDP,PWY-7226 // PWY0-163 // PWY-7219 // PWY-7229 // MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS // PWY-7891 // PWY-7921 // SPHINGOLIPID-SYN-PWY // PWY3O-123 // PWY-7221 // PWY-841 // PWY-7228,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58189'>58189</a>,440.179,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00035'>C00035</a>,GDP
CPD-16493,,,590.773,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?D03735'>D03735</a>,CPD-16493
DITP,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:61382'>61382</a>,488.137,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01345'>C01345</a>,DITP
CPD-16492,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:95040'>95040</a>,393.565,,CPD-16492
DGTP,PWY-7226 // PWY-841 // PWY-7228 // PWY-6502,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:61429'>61429</a>,503.152,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00286'>C00286</a>,DGTP
CPD-16477,,,523.524,,CPD-16477
DGMP,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57673'>57673</a>,345.208,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00362'>C00362</a>,DGMP
CPD-16010,,,2852.54,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11198'>C11198</a>,CPD-16010
DGDP,PWY-7226 // PWY-841 // PWY-7228,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58595'>58595</a>,424.18,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00361'>C00361</a>,DGDP
CPD-15777,PWY-7357,,260.338,,CPD-15777
DATP,PWY-7227 // PWY-841 // PWY-7229,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:61404'>61404</a>,487.152,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00131'>C00131</a>,DATP
CPD-15776,PWY-7357,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:78249'>78249</a>,266.337,,CPD-15776
DAMP,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58245'>58245</a>,329.208,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00360'>C00360</a>,DAMP
CPD-15524,,,170.638,,CPD-15524
DADP,PWY-7227 // PWY-841 // PWY-7229,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57667'>57667</a>,408.18,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00206'>C00206</a>,DADP
CPD-15523,,,168.622,,CPD-15523
CPD-20944,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:77181'>77181</a>,372.532,,CPD-20944
CPD-15522,,,118.175,,CPD-15522
CPD0-2231,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:62286'>62286</a>,409.165,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01344'>C01344</a>,CPD0-2231
CPD-15521,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:85014'>85014</a>,114.144,,CPD-15521
CPD-6901,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:171741'>171741</a>,223.271,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C12058'>C12058</a>,CPD-6901
CPD-15435,PWY0-1587,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:73682'>73682</a>,490.322,,CPD-15435
PYRAZINOIC-ACID,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:71266'>71266</a>,123.091,,PYRAZINOIC-ACID
CPD-15199,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58749'>58749</a>,212.096,,CPD-15199
7-8-DIHYDROPTEROATE,PWY-6614 // PWY-6612 // FOLSYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17839'>17839</a>,313.295,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00921'>C00921</a>,7-8-DIHYDROPTEROATE
CPD-15163,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27976'>27976</a>,54.048,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05985'>C05985</a>,CPD-15163
DIHYDROPTERIN-CH2OH-PP,PWY-6147 // PWY-6614 // PWY-6612 // FOLSYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:73083'>73083</a>,352.116,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04807'>C04807</a>,DIHYDROPTERIN-CH2OH-PP
CPD-14766,PWY-7119,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:50626'>50626</a>,256.428,,CPD-14766
CPD-19840,,,811.574,,CPD-19840
CPD-14535,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:31823'>31823</a>,271.496,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?D01905'>D01905</a>,CPD-14535
CPD-19839,,,482.366,,CPD-19839
CPD-14424,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:76460'>76460</a>,1091.996,,CPD-14424
CPD-19833,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:136521'>136521</a>,404.402,,CPD-19833
CPD-14423,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:73863'>73863</a>,1089.98,,CPD-14423
CPD-16726,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:74926'>74926</a>,154.122,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16748'>C16748</a>,CPD-16726
CPD-14332,PWY0-1597,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:88052'>88052</a>,164.097,,CPD-14332
CPD-14755,,,1101.434,,CPD-14755
CPD-14102,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:207496'>207496</a>,98.101,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20441'>C20441</a>,CPD-14102
ATP,HISTSYN-PWY // PWY-4621-1 // PWY-7899 // PWY-4061 // PWY-6842-1 // PWY0-1597 // PWY-7888 // PWY0-522 // PWY-6938 // PWY0-1587 // PWY-5921 // PWY0-1264 // PWY-7985 // PWY-7891 // PWY-6689 // TRNA-CHARGING-PWY // UDPNACETYLGALSYN-PWY // PWY-5941 // PWY3O-3827 // PWY0-1182 // PWY-6981 // PWY-2201 // PWY-1722 // PWY3O-697 // PWY-7511-1 // LYSINE-AMINOAD-PWY // PWY-7369 // PWY-7546 // GLNSYN-PWY // PWY-6963 // PWY3O-1743 // PWY-7250 // PWY-7353 // PWY-7269 // PWY-7269-YEAST // PWY-7268 // PWY-7245 // GLUCONSUPER-PWY // PWY-7942 // PWY-5143 // PWY3O-224 // YEAST-FAO-PWY // PWY-7288 // PWY-621 // PWY-4101 // PWY3O-0 // PWY-7790 // PWY66-429 // PWY-5966-1 // PWY-7357 // PWY-6910 // PWY-6369 // PWY-6361 // PWY-6364 // PWY3O-402 // PWY-7205 // PWY0-163 // PWY-7119 // PWY-5703 // ALLANTOINDEG-PWY // PWY-7851 // PWY66-422 // PWY-7226 // PWY-7227 // PWY-7282 // PLPSAL-PWY // PWY3O-4106 // PWY-5653 // NADSYN-PWY // PWY3O-4107 // PWY-6614 // PWY-6147 // PWY-6612 // FOLSYN-PWY // PWY-6163 // ARO-PWY // COMPLETE-ARO-YEAST-PWY // ALL-CHORISMATE-YEAST-PWY // PWY-4984 // ARGSYNBSUB-PWY // PWY-6908 // PWY-7356 // PWY-6898 // PWY0-1507 // PWY-7221 // PWY-7228 // PWY-922 // ERGOSTEROL-SYN-PWY // PWY-5910 // PWY3O-450 // PWY-5041 // METHIONINE-DEG1-PWY // SAM-PWY // PWY-5340 // SO4ASSIM-PWY // PWY-821 // PWY-7193 // PWY-2161 // GLUTATHIONESYN-PWY // PWY-4041 // PWY3O-114 // PWY-7197 // PWY-7210 // PWY-7184 // PWY-6619 // PWY3O-2220 // PWY3O-1 // PWY66-423 // PANTO-PWY // PWY-4261-YEAST // HOMOSER-THRESYN-PWY // PWY-6121 // ASPARAGINE-BIOSYNTHESIS // LARABITOLUTIL-PWY // PWY-5690 // HOMOSERSYN-PWY // PWY4FS-6 // PWY3O-259 // PWY-6352 // PWY3O-242 // PWY-6351 // PWY-7219 // PWY-7229 // PWY-6168 // PROSYN-PWY // PWY-7185 // PYRIMID-RNTSYN-PWY // PWY-7177 // PWY-7176 // PWY-7196 // PWY-7208 // PWY0-662 // ASPBIO-PWY // GLUCONEO-YEAST-PWY // ANAGLYCOLYSIS-PWY // GLYCOLYSIS-YEAST-PWY // PWY-7118 // PWY0-1313 // PWY66-21 // PWY-6124 // PWY-841,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30616'>30616</a>,503.152,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00002'>C00002</a>,ATP
CPD-14071,,,286.37,,CPD-14071
AMP,PWY-7118 // PWY0-1313 // PWY66-21 // PWY-6908 // PWY-7356 // PWY-6898 // PWY-6909 // PWY0-662 // PANTO-PWY // PWY-5653 // NADSYN-PWY // PWY3O-4107 // PWY-6147 // PWY-6612 // FOLSYN-PWY // PWY-4984 // ARGSYNBSUB-PWY // PWY-6619 // YEAST-FAO-PWY // PWY-7288 // PWY-5143 // PWY-7221 // PWY-7228 // PWY-7546 // ASPARAGINE-BIOSYNTHESIS // PWY-7511-1 // LYSINE-AMINOAD-PWY // PWY-6689 // PWY-7891 // PWY-7985 // PWY0-1264 // PWY0-1587 // PWY0-522 // PWY-7119 // TRNA-CHARGING-PWY // PWY-5921 // PWY-7888 // PWY-7851 // PWY-7899 // PERIPLASMA-NAD-DEGRADATION // PWY-7219 // PWY-841 // PWY-7229 // PWY-6610 // PWY3O-2220 // PWY3O-1,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:456215'>456215</a>,345.208,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00020'>C00020</a>,AMP
CPD-14018,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:73862'>73862</a>,1047.943,,CPD-14018
ADP,PROSYN-PWY // HOMOSERSYN-PWY // PWY-5690 // GLYCOLYSIS-YEAST-PWY // PWY-7221 // PWY-7226 // PWY-7228 // PWY-7210 // PWY-7184 // PWY-7227 // LARABITOLUTIL-PWY // PWY-5703 // ALLANTOINDEG-PWY // PWY-6163 // ARO-PWY // COMPLETE-ARO-YEAST-PWY // ALL-CHORISMATE-YEAST-PWY // PWY-6124 // PWY-7119 // PWY3O-4106 // PWY-6168 // ASPBIO-PWY // GLUCONEO-YEAST-PWY // PWY-7282 // PLPSAL-PWY // PANTO-PWY // PWY-6910 // PWY-922 // ERGOSTEROL-SYN-PWY // PWY-5910 // HOMOSER-THRESYN-PWY // PWY-4261-YEAST // GLUTATHIONESYN-PWY // PWY3O-114 // PWY66-422 // PWY-4101 // PWY3O-0 // PWY4FS-6 // PWY3O-259 // PWY-6614 // PWY-6612 // FOLSYN-PWY // PWY0-1507 // PWY-7851 // PWY3O-450 // PWY-6121 // PWY-5340 // SO4ASSIM-PWY // PWY-821 // PWY-7219 // PWY-841 // PWY-7229 // PWY-6619 // PWY3O-2220 // PWY3O-1 // PWY66-429 // PWY-5966-1 // PWY66-423 // PWY-6364 // PWY3O-242 // PWY3O-224 // PWY-6351 // PWY-7942 // PWY-4041 // PWY-7205 // PWY0-163 // GLUCONSUPER-PWY // PWY-7269 // PWY-7269-YEAST // PWY-7268 // PWY-7245 // PWY-7356 // PWY-7357 // PWY-7353 // PWY-7250 // PWY3O-4107 // PWY-7185 // PWY-7177 // PWY-7176 // PWY-7208 // GLNSYN-PWY // PWY-6963 // PWY-7369 // PWY3O-1743 // PWY-7193 // PWY-7196 // PWY-4984 // PYRIMID-RNTSYN-PWY // PWY-7790 // ARGSYNBSUB-PWY // ANAGLYCOLYSIS-PWY // UDPNACETYLGALSYN-PWY // PWY-5941 // PWY3O-3827 // PWY0-1182 // PWY-6981 // PWY-621 // PWY-7197 // PWY-6352 // PWY-2201 // PWY-1722 // PWY-2161 // PWY3O-697 // PWY-6369 // PWY3O-402 // PWY-6689 // PWY0-1264 // PWY-5921 // PWY-6938 // PWY-6361 // PWY0-1597 // PWY-4061 // PWY-6842-1 // PWY-881 // PWY-4621-1,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:456216'>456216</a>,424.18,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00008'>C00008</a>,ADP
CPD-13914,,,189.101,,CPD-13914
DIHYDRONEOPTERIN-P3,PWY-6147 // PWY-6612 // FOLSYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58462'>58462</a>,491.141,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04895'>C04895</a>,DIHYDRONEOPTERIN-P3
CPD-13913,,,191.117,,CPD-13913
DIHYDRONEOPTERIN-P,PWY-6147 // PWY-6612 // FOLSYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58762'>58762</a>,333.197,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05925'>C05925</a>,DIHYDRONEOPTERIN-P
CPD-13912,,,208.124,,CPD-13912
AMINO-OH-HYDROXYMETHYL-DIHYDROPTERIDINE,PWY-6147 // PWY-6612 // FOLSYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:44841'>44841</a>,195.18d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01300'>C01300</a>,AMINO-OH-HYDROXYMETHYL-DIHYDROPTERIDINE
CPD-13910,,,189.101,,CPD-13910
CPD-13907,,,192.125,,CPD-13907
HYDROGEN-PEROXIDE,PWY-7282 // HEME-BIOSYNTHESIS-II // PWY-5920 // PWY-5760 // PWY-6837 // YEAST-FAO-PWY // PWY-7288 // PWY-7339 // PWY-7337 // PWY-7338 // PWY-7340 // PWY3O-6 // PLPSAL-PWY // PWY-7291 // DETOX1-PWY // DETOX1-PWY-1 // PWY-4081,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16240'>16240</a>,34.015d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00027'>C00027</a>,HYDROGEN-PEROXIDE
CPD-13855,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63714'>63714</a>,455.214,,CPD-13855
CPD-13758,,,999.769,,CPD-13758
CPD-14675,PWY-5148 // YEAST-FAO-PWY // PWY-7288 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:77250'>77250</a>,1043.995,,CPD-14675
CPD-8268,PWY-7411 // PWY3O-6407 // PWY3O-6499 // PWY-3561 // LIPASYN-PWY-1 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY // PWY-7417,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:74546'>74546</a>,698.959,,CPD-8268
CPD-13754,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:78357'>78357</a>,983.77,,CPD-13754
