"Compound"	"Pathways of compound"	"ChEBI"	"Molecular-Weight"	"Common-Name"	"KEGG"	"Object ID"
CPD0-1327	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:46345'>46345</a>"	130.078	"5-fluorouracil"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C07649'>C07649</a>"	"CPD0-1327"
CPD0-1392	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:27899'>27899</a>"	300.051	"cisplatin"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06911'>C06911</a>"	"CPD0-1392"
CPD-17185	""		1052.804	"ferrichrome A"		"CPD-17185"
CPD0-1306	""		269.401	"3-decynoyl-<i>N</i>-acetylcysteamine"		"CPD0-1306"
CPD0-1158	PWY-7307 // PWY-7292	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:71586'>71586</a>"	969.83	"(3<i>E</i>,5<i>Z</i>)-tetradeca-3,5-dienoyl-CoA"		"CPD0-1158"
CPD0-1063	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:60331'>60331</a>"	345.176	"2-<I>O</I>-(6-phospho-&alpha;-D-mannosyl)-D-glycerate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16699'>C16699</a>"	"CPD0-1063"
CPD-15692	PWY-7340	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:84793'>84793</a>"	915.738	"(3E)-dec-3-enoyl-CoA"		"CPD-15692"
CPD-9543	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:50148'>50148</a>"	304.495	"fenpropimorph"		"CPD-9543"
CPD-15691	PWY-7340		957.775	"(5E)-3-oxo-dodec-5-enoyl-CoA"		"CPD-15691"
CPD-9542	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:82072'>82072</a>"	372.586	"buthiobate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18930'>C18930</a>"	"CPD-9542"
CPD-15690	PWY-7340		959.791	"(3R)-hydroxy-5-<i>trans</i>-dodecenoyl-CoA"		"CPD-15690"
CPD-9451	LEUSYN-PWY // BRANCHED-CHAIN-AA-SYN-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58085'>58085</a>"	156.138	"2-isopropylmaleate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02631'>C02631</a>"	"CPD-9451"
CPD-15689	PWY-7340		941.776	"(2E,5E)-dodeca-2,5-dienoyl-CoA"		"CPD-15689"
CPD-9052	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:64276'>64276</a>"	100.117	"glutaraldehyde"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C12518'>C12518</a>"	"CPD-9052"
CPD-15688	PWY-7340		941.776	"(3Z,5E)-dodec-3,5-dienoyl-CoA"		"CPD-15688"
CPD-8999	PWY3O-64	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58828'>58828</a>"	240.167	"5-(methylsulfanyl)-2,3-dioxopentyl 1-phosphate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15650'>C15650</a>"	"CPD-8999"
CPD-15687	PWY-7340		983.813	"5-<i>cis</i>, 7-<i>trans</i>-3-oxo-tetradecadienoyl-CoA"		"CPD-15687"
CPD-8887	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:34779'>34779</a>"	58.037	"glyoxal"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C14448'>C14448</a>"	"CPD-8887"
CPD-15686	PWY-7340		985.829	"(3R)-hydroxy- 5-<i>cis</i>, 7-<i>trans</i>-tetradecadienoyl-CoA"		"CPD-15686"
CPD-8815	PWY-7233	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:20450'>20450</a>"	151.141	"4-methylsalicylate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C14103'>C14103</a>"	"CPD-8815"
CPD-15685	PWY-7340		967.814	"2-<i>trans</i>, 5-<i>cis</i>, 7-<i>trans</i>-tetradecatrienoyl-CoA"		"CPD-15685"
CPD-8529	""			"R'C(R)S-S(R)CR'"		"CPD-8529"
CPD-15684	PWY-7340		969.83	"5-<i>cis</i>, 7-<i>trans</i>-tetradecadienoyl-CoA"		"CPD-15684"
CPD-85	PWY3O-64	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58795'>58795</a>"	161.195	"1,2-dihydroxy-5-(methylsulfanyl)pent-1-en-3-one"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15606'>C15606</a>"	"CPD-85"
CPD-15683	PWY-7340	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:74297'>74297</a>"	1025.937	"9-<i>cis</i>, 11-<i>trans</i>-octadecadienoyl-CoA"		"CPD-15683"
CPD-8259	PWY3O-224	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58527'>58527</a>"	255.227	"&beta;-D-ribosylnicotinate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05841'>C05841</a>"	"CPD-8259"
CPD-15678	PWY-7339		943.749	"4-<i>trans</i>-3-oxo-undecenoyl-CoA"		"CPD-15678"
CPD-7988	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:9750'>9750</a>"	250.38	"Triton X-100"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11623'>C11623</a>"	"CPD-7988"
CPD-15677	PWY-7338		929.765	"4-<i>trans</i>-undecenoyl-CoA"		"CPD-15677"
CPD-7682	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58769'>58769</a>"	126.135	"1-piperideine 6-carboxylate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00450'>C00450</a>"	"CPD-7682"
CPD-15676	PWY-7338		971.802	"6-<i>trans</i>-3-oxo-tridecenoyl-CoA"		"CPD-15676"
CPD-763	PWY-4621-1	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29242'>29242</a>"	124.936	"arsenite"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06697'>C06697</a>"	"CPD-763"
CPD-15675	PWY-7338		955.803	"2-<i>trans</i>-6-<i>trans</i>-tridecadienoyl-CoA"		"CPD-15675"
CPD-7546	""		252.346	"(<i>E</i>)-1-(L-cystein-<i>S</i>-yl)-<i>N</i>-hydroxy-&omega;-(methylsulfanyl)butan-1-imine"		"CPD-7546"
CPD-15668	PWY-7337		929.765	"4-<i>cis</i>-undecenoyl-CoA"		"CPD-15668"
CPD-7100	LEUSYN-PWY // BRANCHED-CHAIN-AA-SYN-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17214'>17214</a>"	172.137	"(2<i>S</i>)-2-isopropyl-3-oxosuccinate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04236'>C04236</a>"	"CPD-7100"
CPD-15667	PWY-7337		971.802	"6-<i>cis</i>, 3-oxo-tridecenoyl-CoA"		"CPD-15667"
CPD-7035	PWY-5079	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:49000'>49000</a>"	122.166	"2-phenylethanol"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05853'>C05853</a>"	"CPD-7035"
CPD-15666	PWY-7337		955.803	"2-<i>trans</i>,6-<i>cis</i>-tridecadienoyl-CoA"		"CPD-15666"
CPD-7033	PWY-5078 // PWY3O-4109	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:48945'>48945</a>"	88.149	"2-methylbutanol"		"CPD-7033"
CPD-15663	PWY-7339	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:76292'>76292</a>"	901.711	"2-<i>trans</i>-nonenoyl-CoA"		"CPD-15663"
CPD-7032	PWY-5076 // PWY3O-4112	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15837'>15837</a>"	88.149	"3-methylbutanol"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C07328'>C07328</a>"	"CPD-7032"
CPD-15662	PWY-7339		945.764	"(3R)-hydroxy, 4-<i>trans</i>-undecenoyl-CoA"		"CPD-15662"
CPD-7031	PWY-5076 // PWY3O-4112	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16638'>16638</a>"	86.133	"3-methylbutanal"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C07329'>C07329</a>"	"CPD-7031"
CPD-15661	PWY-7339 // PWY-7338		927.749	"2-<i>trans</i>, 4-<i>trans</i>-undecadienoyl-CoA"		"CPD-15661"
CPD-69	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29195'>29195</a>"	42.017	"cyanate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01417'>C01417</a>"	"CPD-69"
CPD-15659	PWY-7339 // PWY-7338 // PWY-7337		891.673	"3-hydroxy-heptanoyl-CoA"		"CPD-15659"
CPD-678	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16503'>16503</a>"	80.976	"hydrogen selenide"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01528'>C01528</a>"	"CPD-678"
CPD-15657	PWY-7338 // PWY-7337		947.78	"(3R)-hydroxy-undecanoyl-CoA"		"CPD-15657"
CPD-661	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15364'>15364</a>"	69.04	"propynoate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00804'>C00804</a>"	"CPD-661"
CPD-15656	PWY-7338 // PWY-7337	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:77548'>77548</a>"	929.765	"(3E)-undec-2-enoyl-CoA"		"CPD-15656"
CPD-657	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16698'>16698</a>"	42.04	"cyanamide"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01566'>C01566</a>"	"CPD-657"
CPD-15653	PWY-7337		973.818	"(3R)-hydroxy, 6-<i>cis</i>-tridecenoyl-CoA"		"CPD-15653"
CPD-641	PWY-922 // ERGOSTEROL-SYN-PWY // PWY-5910	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57557'>57557</a>"	304.087	"(R)-mevalonate diphosphate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01143'>C01143</a>"	"CPD-641"
CPD-15652	PWY-7338		973.818	"(3R)-hydroxy, 6-<i>trans</i>-tridecenoyl-CoA"		"CPD-15652"
CPD-611	PWY-7369	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58938'>58938</a>"	501.26	"thiamine triphosphate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03028'>C03028</a>"	"CPD-611"
CPD-15651	PWY-7338		957.819	"6-<i>trans</i>-tridecenoyl-CoA"		"CPD-15651"
CPD-6041	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:50681'>50681</a>"	452.429	"methotrexate"		"CPD-6041"
CPD-15650	PWY-7338		1013.926	"10-<i>trans</i>-heptadecenoyl-CoA"		"CPD-15650"
CPD-592	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57486'>57486</a>"	145.161	"4-guanidinobutanoate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01035'>C01035</a>"	"CPD-592"
CPD-15637	PWY-7337		957.819	"6-<i>cis</i>-tridecenoyl-CoA"		"CPD-15637"
CPD-5847	""		430.713	"4&alpha;-hydroxymethyl-4&beta;-methyl-5&alpha;-cholest-7-en-3&beta;-ol"		"CPD-5847"
CPD-15635	PWY-7337		1013.926	"10-<i>cis</i>-heptadecenoyl-CoA"		"CPD-15635"
CPD-5845	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16286'>16286</a>"	428.697	"3&beta;-hydroxy-4&beta;-methyl-5&alpha;-cholest-7-ene-4&alpha;-carbaldehyde"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11509'>C11509</a>"	"CPD-5845"
CPD-15567	PWY-7307	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:87710'>87710</a>"	971.845	"(3E)-tetradec-3-enoyl-CoA"		"CPD-15567"
CPD-578	PWY-5703 // ALLANTOINDEG-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15832'>15832</a>"	103.057	"urea-1-carboxylate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01010'>C01010</a>"	"CPD-578"
CPD-15566	PWY-7307	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:87712'>87712</a>"	969.83	"(2E,4E)-tetradeca-2,4-dienoyl-CoA"		"CPD-15566"
CPD-5662	PWY0-1507		245.316	"9-mercaptodethiobiotin"		"CPD-5662"
CPD-5401	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:33207'>33207</a>"	392.199	"p-chloromercuriphenylsulfonate"		"CPD-5401"
CPD-535	PWY66-423	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58579'>58579</a>"	336.085	"&beta;-D-fructose 2,6-bisphosphate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00665'>C00665</a>"	"CPD-535"
CPD-5221	""		1287.408	"amphomycin"		"CPD-5221"
PRISTANATE	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288 // PWY-5143	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:77268'>77268</a>"	297.5	"pristanate"		"PRISTANATE"
CPD-499	PWY-922 // ERGOSTEROL-SYN-PWY // PWY-5910	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58146'>58146</a>"	225.115	"(<i>R</i>)-5-phosphomevalonate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01107'>C01107</a>"	"CPD-499"
CYCLOARTENOL	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17030'>17030</a>"	426.724	"cycloartenol"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01902'>C01902</a>"	"CYCLOARTENOL"
CPD-476	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58147'>58147</a>"	206.177	"4-(2-aminophenyl)-2,4-dioxobutanoate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01252'>C01252</a>"	"CPD-476"
CPD-696	""		440.751	"24-methylenecycloartanol"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C08830'>C08830</a>"	"CPD-696"
CPD-469	ARGSYNBSUB-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29123'>29123</a>"	172.16	"<i>N</i>-acetyl-L-glutamate 5-semialdehyde"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01250'>C01250</a>"	"CPD-469"
CPD-4081	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:80094'>80094</a>"	412.698	"4&alpha;-methyl-5&alpha;-ergosta-8,24-dien-3&beta;-ol"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15776'>C15776</a>"	"CPD-4081"
CPD-4503	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:47518'>47518</a>"	531.438	"ketoconazole"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?D00351'>D00351</a>"	"CPD-4503"
CPD-13700	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:83792'>83792</a>"	1089.98	"3-oxo-4-pregnene-20-carboxyl-CoA"		"CPD-13700"
CPD-444	PWY-6756 // PWY3O-64	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58533'>58533</a>"	258.182	"<i>S</i>-methyl-5-thio-&alpha;-D-ribose 1-phosphate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04188'>C04188</a>"	"CPD-444"
CPD-13699	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:86014'>86014</a>"	1132.017	"3,22-dioxochol-4-en-24-oyl-CoA"		"CPD-13699"
CPD-4211	PWY-922 // PWY0-1597 // PWY-5123 // ERGOSTEROL-SYN-PWY // PWY-5910 // PWY-6859 // PWY-5122	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57623'>57623</a>"	243.069	"prenyl diphosphate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00235'>C00235</a>"	"CPD-4211"
CPD-13691	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:83819'>83819</a>"	1160.114	"(25S)-3-oxocholest-4-en-26-oyl-CoA"		"CPD-13691"
CPD-396	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16797'>16797</a>"	137.161	"1-methylnicotinamide"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02918'>C02918</a>"	"CPD-396"
CPD-13689	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:71541'>71541</a>"	413.619	"(25S)-3-oxocholest-4-en-26-oate"		"CPD-13689"
CPD-375	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16871'>16871</a>"	165.148	"4-pyridoxolactone"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00971'>C00971</a>"	"CPD-375"
CPD-9768	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // LIPAS-PWY // PWY-5143	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:72745'>72745</a>"	253.404	"(2<i>E</i>)-hexadecenoate"		"CPD-9768"
CPD-35	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:11951'>11951</a>"	144.15	"4-acetamidobutanoate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02946'>C02946</a>"	"CPD-35"
CPD-10687	PWY-7269 // PWY-7245 // PWY-7269-YEAST	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:30322'>30322</a>"	115.132	"3-acetamidopropanal"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C18170'>C18170</a>"	"CPD-10687"
CPD-3344	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:15730'>15730</a>"	102.069	"pyruvic oxime"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02193'>C02193</a>"	"CPD-3344"
CPD-10793	PWY-7269 // PWY-7245 // PWY-7269-YEAST	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58860'>58860</a>"	166.027	"hydroxypyruvaldehyde phosphate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C16849'>C16849</a>"	"CPD-10793"
CPD-334	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57441'>57441</a>"	191.117	"2,3-dioxo-L-gulonate"		"CPD-334"
CPD-6082	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-5760	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58374'>58374</a>"	74.102	"3-aminopropanal"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02229'>C02229</a>"	"CPD-6082"
CPD-30	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:7386'>7386</a>"	129.158	"4-acetamidobutanal"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05936'>C05936</a>"	"CPD-30"
METHYL-GLYOXAL	PWY-5386-1 // PWY-5458 // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-5456	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17158'>17158</a>"	72.063d0	"methylglyoxal"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00546'>C00546</a>"	"METHYL-GLYOXAL"
CPD-294	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16468'>16468</a>"	156.095	"2-maleylacetate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02222'>C02222</a>"	"CPD-294"
CPD-10204	PWY-7910	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:74456'>74456</a>"	114.101	"norfuraneol"		"CPD-10204"
CPD-292	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17585'>17585</a>"	238.412	"(2E)-hexadecenal"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06123'>C06123</a>"	"CPD-292"
CPD-10205	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:76245'>76245</a>"	126.112	"4-hydroxy-5-methyl-2-methylene-3(2H)-furanone"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C20718'>C20718</a>"	"CPD-10205"
CPD-29	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28420'>28420</a>"	356.15	"<i>p</i>-chloromercuribenzoate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03444'>C03444</a>"	"CPD-29"
CPD-10206	PWY-7910	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:137994'>137994</a>"	140.138	"(2E)-2-ethylidene-4-hydroxy-5-methyl-3(2H)-furanone"		"CPD-10206"
CPD-280	LYSDEGII-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16120'>16120</a>"	115.108	"glutarate semialdehyde"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03273'>C03273</a>"	"CPD-280"
CPD-10208	""		168.192	"(2E)-2-butylidene-4-hydroxy-5-methyl-3(2H)-furanone"		"CPD-10208"
CPD-2743	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:142659'>142659</a>"	178.233	"nicotine-1'-N-oxide"		"CPD-2743"
3-P-SERINE	PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367 // SERSYN-PWY // SER-GLYSYN-PWY	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57524'>57524</a>"	183.057	"<i>O</i>-phospho-L-serine"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01005'>C01005</a>"	"3-P-SERINE"
CPD-22658	PWY-4621-1		988.821	"arsenic triglutathione"		"CPD-22658"
GLYCOLALDEHYDE	PWY-6147 // PWY-6612 // FOLSYN-PWY // PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY0-1280	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17071'>17071</a>"	60.052d0	"glycolaldehyde"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00266'>C00266</a>"	"GLYCOLALDEHYDE"
CPD-22418	""		392.606	"10-<i>N</i>-nonyl acridine orange"		"CPD-22418"
CAMP	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58165'>58165</a>"	328.201	"cyclic-AMP"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00575'>C00575</a>"	"CAMP"
CPD-22382	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:50607'>50607</a>"	358.35	"dityrosine"		"CPD-22382"
CGMP	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57746'>57746</a>"	344.2	"cyclic-GMP"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00942'>C00942</a>"	"CGMP"
CPD-21116	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:77856'>77856</a>"	132.22	"4-methyl-4-sulfanylpentan-2-one"		"CPD-21116"
CPD-12365	PWY-6502	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63224'>63224</a>"	361.207	"8-oxo-dGMP"		"CPD-12365"
CPD-20962	""		163.219	"(<i>Z</i>)-methyl(oxido)(1-phenylpropan-2-ylidene)azanium"		"CPD-20962"
CPD-12366	PWY-6502		535.151	"8-oxo-GTP"		"CPD-12366"
CPD-20961	""		165.235	"<i>N</i>-methyl-<i>N</i>-[(2<i>S</i>)-1-phenylpropan-2-yl]hydroxylamine"		"CPD-20961"
CPD-12367	PWY-6502		377.207	"8-oxo-GMP"		"CPD-12367"
CPD-20960	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:132297'>132297</a>"	150.243	"methamphetamine"		"CPD-20960"
CPD-13025	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:74604'>74604</a>"	361.207	"guanosine 2'-monophosphate"		"CPD-13025"
CPD-20959	""		149.192	"(E)-N-(1-phenylpropan-2-ylidene)hydroxylamine"		"CPD-20959"
CPD-3705	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:77740'>77740</a>"	345.208	"adenosine 2'-monophosphate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00946'>C00946</a>"	"CPD-3705"
CPD-20958	""		151.208	"<i>N</i>-(1-phenylpropan-2-yl)hydroxylamine"		"CPD-20958"
CPD-3707	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:60879'>60879</a>"	328.201	"adenosine 2',3'-cyclic monophosphate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02353'>C02353</a>"	"CPD-3707"
CPD-20275	""		232.193	"kifunensine"		"CPD-20275"
CPD-3709	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:60837'>60837</a>"	344.2	"guanosine 2',3'-cyclic monophosphate"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06194'>C06194</a>"	"CPD-3709"
CPD-20053	""		182.217	"(<i>Z</i>)-<i>N</i>-hydroxy-2-(4-hydroxyphenyl)acetimidothioate"		"CPD-20053"
FMNH2	PWY-723 // PWY0-1597	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57618'>57618</a>"	456.348	"FMNH<SUB>2</SUB>"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01847'>C01847</a>"	"FMNH2"
CPD-20047	""		269.401	"(2Z,3Z)-deca-2,3-dienoyl-<i>N</i>-acetylcysteamine"		"CPD-20047"
CPD0-2461	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:62462'>62462</a>"	151.127	"isoguanine"		"CPD0-2461"
CPD-19602	""	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:75253'>75253</a>"	168.026	"phenylarsenious oxide"		"CPD-19602"
RETINAL	PWY-7269 // PWY-7245 // PWY-7269-YEAST	"<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17898'>17898</a>"	284.441	"<i>all-trans</i>-retinal"	"<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00376'>C00376</a>"	"RETINAL"
