NewMetName	Charged formula	Charge	compartment	KEGG ID	CHEBI ID	Remark
hydrogen cyanide [mitochondrion]	CHN	0	mitochondrion	C01326	CHEBI:18407	based on metnx
thiosulfate [mitochondrion]	HO3S2	-1	mitochondrion	C00320	CHEBI:33541	based on chebi
sulphite [mitochondrion]	O3S	-2	mitochondrion	C11481	CHEBI:17359	based on chebi
thiocyanate [mitochondrion]	CHNS	0	mitochondrion	C01755	CHEBI:29200	based on chebi
Mg(2+) [cytoplasm]	Mg	2	cytoplasm	C00305	CHEBI:18420	based on metnx
Mg(2+) [mitochondrion]	Mg	2	mitochondrion	C00305	CHEBI:18420	based on metnx
UDP-D-glucose [endoplasmic reticulum]	C15H22N2O17P2	-2	endoplasmic reticulum	C00029	CHEBI:58367	Present in yeast model
sulphate [endoplasmic reticulum]	O4S	-2	endoplasmic reticulum	C00059	CHEBI:16189	based on metnx
N-Acetyl-D-glucosamine [cytoplasm]	C8H15NO6	0	cytoplasm	C00140	CHEBI:506227	based on metnx
polyphosphate [cytoplasm]	HO7P2	-3	cytoplasm	C00404	CHEBI:16838	based on chebi
Cu2(+) [cytoplasm]	Cu	2	cytoplasm	C00070	CHEBI:29036	based on chebi
Cu2(+) [Golgi]	Cu	2	Golgi	C00070	CHEBI:29036	based on chebi
2-Oxoglutaramate [cytoplasm]	C5H6NO4	-1	cytoplasm	C00940	CHEBI:16769	based on chebi
porphyrin [mitochondrion]	C20H14N4	0	mitochondrion	C05113	CHEBI:8337	based on metnx
porphyrin [cytoplasm]	C20H14N4	0	cytoplasm	C05113	CHEBI:8337	based on metnx
Starch [cytoplasm]	C12H22O11	0	cytoplasm
D-mannose 6-phosphate [vacuole]	C6H13O9P	0	vacuole	C00275	CHEBI:17369	present in yeast model
D-Glycerate [vacuole]	C3H5O4	-1	vacuole	C00258	CHEBI:16659	based on metnx
Zn(2+) [mitochondrion]	Zn	2	mitochondrion	C00038	CHEBI:29105	based on metnx
Zn(2+) [vacuole]	Zn	2	vacuole	C00038	CHEBI:29105	based on metnx
RX [mitochondrion]	RX	0	mitochondrion	C01322	CHEBI:17792	based on metnx
HX [mitochondrion]	X	-1	mitochondrion	C00462	CHEBI:16042	based on metnx
R-S-glutathione [mitochondrion]	C10H16N3O6SR	0	mitochondrion	C02320	CHEBI:17021	based on kegg
iron(3+) [vacuole]	Fe	3	vacuole	C14819	CHEBI:29034	based on chebi
UDP-N-acetyl-alpha-D-glucosamine [Golgi]	C17H25N3O17P2	-2	Golgi	C00043	CHEBI:57705	Present in yeast model
L-methionine [vacuole]	C5H11NO2S	0	vacuole	C00073	CHEBI:16643	Present in yeast model
ATP [Golgi]	C10H12N5O13P3	-4	vacuole	C00002	CHEBI:30616	Present in yeast model
Ca(2+) [Golgi]	Ca	2	vacuole	C00076	CHEBI:29108	based on metnx
ADP [Golgi]	C10H12N5O10P2	-3	vacuole	C00008	CHEBI:456216	Present in yeast model
